movie_id,collection_max,collection_avg,collection_count
474350,701796444,701796444.0,1
53182,456068181,456068181.0,1
440,177427090,177427090.0,1
13522,21287566,21287566.0,1
613099,3955278,3955278.0,1
8881,8638163,8638163.0,1
16820,20603715,20603715.0,1
58637,23465471,23465471.0,1
146216,199006387,199006387.0,1
172385,483866518,483866518.0,1
41439,164874275,122997549.16666667,6
214,147748505,125830087.0,2
215,103911669,103911669.0,1
11917,164874275,138971770.5,4
663,164874275,138844816.33333334,3
22804,164874275,133950228.2,5
298250,164874275,124876532.71428573,7
214756,549368315,549368315.0,1
428045,38885962,38885962.0,1
11679,277448382,277448382.0,1
47971,277448382,174235537.5,2
9447,254134910,254134910.0,1
49013,461991867,461991867.0,1
260514,559852396,510922131.5,2
17692,471961371,329922689.0,2
579,471961371,471961371.0,1
580,471961371,249277477.66666666,3
141614,21897141,21897141.0,1
20526,33000000,33000000.0,1
76338,449326618,449326618.0,1
284053,644783140,547054879.0,2
433150,5216102,5216102.0,1
8077,131387641,131387641.0,1
8078,159814498,145601069.5,2
9710,15057465,15057465.0,1
36586,131183530,131183530.0,1
36648,155010032,143096781.0,2
15092,42931041,42931041.0,1
480530,173567581,173567581.0,1
17532,6979093,6979093.0,1
74135,40568961,40568961.0,1
9815,27610873,27610873.0,1
19139,27610873,17737889.0,2
38084,19444631,19444631.0,1
16781,50652203,50652203.0,1
51017,63368939,55251687.666666664,3
175555,66899242,57363118.4,5
26367,63368939,57010571.0,2
103370,63368939,54979087.5,4
464504,66899242,56702037.833333336,6
10706,25480803,25480803.0,1
180894,194243,194243.0,1
335796,103687316,103687316.0,1
21925,589244,589244.0,1
7555,300400432,204876315.66666666,3
1369,125212904,125212904.0,1
1370,300400432,212806668.0,2
522938,300400432,181968309.25,4
373449,3889511,3889511.0,1
1246,300474985,165680741.5,4
1371,117248937,117248937.0,1
1374,125052686,121150811.5,2
1375,300474985,180925536.0,3
809,506429095,506429095.0,1
810,928760770,717594932.5,2
10192,928760770,749519081.6666666,3
1639,350448145,350448145.0,1
82675,226837760,226837760.0,1
