Date,Price
2024-07-16,0.1376
2024-06-30,0.13763
2024-05-30,0.13825
2024-04-30,0.13811
2024-03-31,0.1385
2024-02-29,0.13914
2024-01-31,0.14083
2023-12-31,0.14147
2023-11-30,0.14133
2023-10-31,0.1367
2023-09-28,0.13699
2023-08-31,0.1378
2023-07-31,0.14093
2023-06-29,0.1379
2023-05-31,0.14063
2023-04-30,0.14469
2023-03-30,0.14555
2023-02-28,0.14425
2023-01-31,0.14807
2022-12-29,0.14361
2022-11-30,0.14132
2022-10-31,0.13695
2022-09-29,0.14037
2022-08-31,0.14516
2022-07-31,0.1483
2022-06-30,0.14929
2022-05-31,0.14989
2022-04-28,0.15094
2022-03-31,0.15776
2022-02-28,0.15852
2022-01-31,0.15724
2021-12-30,0.15693
2021-11-30,0.15715
2021-10-31,0.15613
2021-09-30,0.15515
2021-08-31,0.15481
2021-07-29,0.15491
2021-06-30,0.15489
2021-05-31,0.15701
2021-04-29,0.15453
2021-03-31,0.15264
2021-02-28,0.15437
2021-01-31,0.1556
2020-12-31,0.1531
2020-11-30,0.15203
2020-10-29,0.14894
2020-09-30,0.14728
2020-08-31,0.14603
2020-07-30,0.14271
2020-06-30,0.14155
2020-05-31,0.14013
2020-04-30,0.14162
2020-03-31,0.14122
2020-02-27,0.14279
2020-01-30,0.14418
2019-12-31,0.14363
2019-11-28,0.14216
2019-10-31,0.14208
2019-09-30,0.13991
2019-08-29,0.13998
2019-07-31,0.14528
2019-06-30,0.14565
2019-05-30,0.14491
2019-04-30,0.1485
2019-03-31,0.14901
2019-02-28,0.14941
2019-01-31,0.14926
2018-12-31,0.1454
2018-11-29,0.14406
2018-10-31,0.14338
2018-09-30,0.14561
2018-08-30,0.14613
2018-07-31,0.14681
2018-06-28,0.15089
2018-05-31,0.15602
2018-04-30,0.15793
2018-03-29,0.15901
2018-02-28,0.15796
2018-01-31,0.15903
2017-12-31,0.15371
2017-11-30,0.15124
2017-10-31,0.1507
2017-09-28,0.15004
2017-08-31,0.15175
2017-07-31,0.14869
2017-06-29,0.14737
2017-05-31,0.14682
2017-04-30,0.14467
2017-03-30,0.14516
2017-02-28,0.14564
2017-01-31,0.14538
2016-12-29,0.14398
2016-11-30,0.14512
2016-10-31,0.14761
2016-09-29,0.14995
2016-08-31,0.14975
2016-07-31,0.15055
2016-06-30,0.15065
2016-05-31,0.15214
2016-04-28,0.15466
2016-03-31,0.1553
2016-02-29,0.15281
2016-01-31,0.1523
2015-12-31,0.15423
2015-11-30,0.15654
2015-10-29,0.15756
2015-09-30,0.15755
2015-08-31,0.15707
2015-07-30,0.1613
2015-06-30,0.16153
2015-05-31,0.16159
2015-04-30,0.16153
2015-03-31,0.16162
2015-02-26,0.16001
2015-01-29,0.16034
2014-12-31,0.16139
2014-11-30,0.16305
2014-10-30,0.16381
2014-09-30,0.16317
2014-08-31,0.16304
