Date,Price
2024-07-16,0.0429
2024-06-28,0.04261
2024-05-31,0.04377
2024-04-30,0.04235
2024-03-29,0.04266
2024-02-29,0.04259
2024-01-31,0.04353
2023-12-29,0.04469
2023-11-30,0.04473
2023-10-31,0.04303
2023-09-29,0.04324
2023-08-31,0.045
2023-07-31,0.04602
2023-06-30,0.04583
2023-05-31,0.045
2023-04-28,0.0468
2023-03-31,0.04615
2023-02-28,0.04497
2023-01-31,0.04562
2022-12-30,0.04428
2022-11-30,0.04269
2022-10-31,0.04033
2022-09-30,0.03981
2022-08-31,0.04097
2022-07-29,0.04149
2022-06-30,0.04232
2022-05-31,0.04338
2022-04-29,0.04278
2022-03-31,0.04527
2022-02-28,0.04454
2022-01-31,0.04612
2021-12-31,0.04566
2021-11-30,0.0444
2021-10-29,0.04504
2021-09-30,0.04568
2021-08-31,0.04641
2021-07-30,0.04654
2021-06-30,0.04645
2021-05-31,0.04803
2021-04-30,0.04642
2021-03-31,0.04482
2021-02-26,0.04607
2021-01-29,0.04657
2020-12-31,0.04652
2020-11-30,0.04539
2020-10-30,0.0427
2020-09-30,0.04327
2020-08-31,0.04539
2020-07-31,0.04483
2020-06-30,0.04209
2020-05-29,0.0412
2020-04-30,0.04032
2020-03-31,0.04025
2020-02-28,0.04325
2020-01-31,0.04392
2019-12-31,0.04401
2019-11-29,0.04308
2019-10-31,0.04366
2019-09-30,0.04219
2019-08-30,0.0423
2019-07-31,0.04305
2019-06-28,0.04468
2019-05-31,0.04315
2019-04-30,0.04369
2019-03-29,0.0434
2019-02-28,0.04431
2019-01-31,0.04439
2018-12-31,0.04451
2018-11-30,0.04356
2018-10-31,0.04358
2018-09-28,0.04503
2018-08-31,0.045
2018-07-31,0.04566
2018-06-29,0.04493
2018-05-31,0.04528
2018-04-30,0.04713
2018-03-30,0.04856
2018-02-28,0.04791
2018-01-31,0.04904
2017-12-29,0.04692
2017-11-30,0.04657
2017-10-31,0.04537
2017-09-29,0.04543
2017-08-31,0.04557
2017-07-31,0.04533
2017-06-30,0.04369
2017-05-31,0.0426
2017-04-28,0.04059
2017-03-31,0.03937
2017-02-28,0.03908
2017-01-31,0.03989
2016-12-30,0.03892
2016-11-30,0.03913
2016-10-31,0.04055
2016-09-30,0.04154
2016-08-31,0.04124
2016-07-29,0.04125
2016-06-30,0.04094
2016-05-31,0.04114
2016-04-29,0.04224
2016-03-31,0.04203
2016-02-29,0.04017
2016-01-29,0.03988
2015-12-31,0.04009
2015-11-30,0.03905
2015-10-30,0.04067
2015-09-30,0.04105
2015-08-31,0.04144
2015-07-31,0.04054
2015-06-30,0.0408
2015-05-29,0.04004
2015-04-30,0.04077
2015-03-31,0.03892
2015-02-27,0.04063
2015-01-30,0.04066
2014-12-31,0.04371
