Date,Price
2024-07-16,0.146
2024-06-28,0.1432
2024-05-31,0.1449
2024-04-30,0.14291
2024-03-29,0.1442
2024-02-29,0.14494
2024-01-31,0.1446
2023-12-29,0.14802
2023-11-30,0.14604
2023-10-31,0.14163
2023-09-29,0.1413
2023-08-31,0.14541
2023-07-31,0.1471
2023-06-30,0.1461
2023-05-31,0.143
2023-04-28,0.1473
2023-03-31,0.145
2023-02-28,0.1416
2023-01-31,0.1455
2022-12-30,0.1435
2022-11-30,0.1395
2022-10-31,0.13269
2022-09-30,0.1313
2022-08-31,0.1346
2022-07-29,0.1368
2022-06-30,0.1404
2022-05-31,0.14421
2022-04-29,0.1412
2022-03-31,0.14876
2022-02-28,0.15083
2022-01-31,0.1505
2021-12-31,0.15284
2021-11-30,0.15246
2021-10-29,0.1549
2021-09-30,0.15571
2021-08-31,0.15878
2021-07-30,0.1591
2021-06-30,0.15944
2021-05-31,0.16438
2021-04-30,0.1611
2021-03-31,0.15763
2021-02-26,0.1619
2021-01-29,0.1627
2020-12-31,0.1637
2020-11-30,0.1597
2020-10-30,0.1559
2020-09-30,0.15743
2020-08-31,0.16035
2020-07-31,0.1576
2020-06-30,0.15075
2020-05-29,0.1485
2020-04-30,0.14664
2020-03-31,0.14763
2020-02-28,0.1471
2020-01-31,0.1479
2019-12-31,0.1496
2019-11-29,0.1469
2019-10-31,0.1492
2019-09-30,0.146
2019-08-30,0.1469
2019-07-31,0.1484
2019-06-28,0.1519
2019-05-31,0.1491
2019-04-30,0.1502
2019-03-29,0.1498
2019-02-28,0.1524
2019-01-31,0.1533
2018-12-31,0.1531
2018-11-30,0.1512
2018-10-31,0.1517
2018-09-28,0.155
2018-08-31,0.1551
2018-07-31,0.1568
2018-06-29,0.1563
2018-05-31,0.1572
2018-04-30,0.1621
2018-03-30,0.1648
2018-02-28,0.1637
2018-01-31,0.1668
2017-12-29,0.1604
2017-11-30,0.1597
2017-10-31,0.1565
2017-09-29,0.1583
2017-08-31,0.1602
2017-07-31,0.1591
2017-06-30,0.1532
2017-05-31,0.1511
2017-04-28,0.1462
2017-03-31,0.1429
2017-02-28,0.1422
2017-01-31,0.1452
2016-12-30,0.1415
2016-11-30,0.1424
2016-10-31,0.1475
2016-09-30,0.1504
2016-08-31,0.1499
2016-07-29,0.1497
2016-06-30,0.1492
2016-05-31,0.1496
2016-04-29,0.1533
2016-03-31,0.1527
2016-02-29,0.1459
2016-01-29,0.1441
2015-12-31,0.145
2015-11-30,0.1417
2015-10-30,0.1471
2015-09-30,0.1497
2015-08-31,0.1498
2015-07-31,0.1467
2015-06-30,0.1492
2015-05-29,0.1468
2015-04-30,0.1502
2015-03-31,0.1437
2015-02-27,0.1496
2015-01-30,0.1512
2014-12-31,0.162
