"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","0.9163","0.9315","0.9337","0.9156","","-1.64%"
"06/01/2024","0.9316","0.9218","0.9375","0.9160","","1.03%"
"05/01/2024","0.9221","0.9375","0.9390","0.9178","","-1.63%"
"04/01/2024","0.9374","0.9269","0.9434","0.9186","","1.19%"
"03/01/2024","0.9264","0.9257","0.9288","0.9106","","0.12%"
"02/01/2024","0.9253","0.9247","0.9351","0.9176","","0.12%"
"01/01/2024","0.9242","0.9054","0.9264","0.9052","","2.01%"
"12/01/2023","0.9060","0.9184","0.9326","0.8976","","-1.35%"
"11/01/2023","0.9184","0.9457","0.9509","0.9076","","-2.84%"
"10/01/2023","0.9452","0.9463","0.9571","0.9351","","-0.05%"
"09/01/2023","0.9457","0.9225","0.9535","0.9189","","2.56%"
"08/01/2023","0.9221","0.9095","0.9289","0.9037","","1.41%"
"07/01/2023","0.9093","0.9165","0.9230","0.8868","","-0.76%"
"06/01/2023","0.9163","0.9355","0.9380","0.9081","","-2.03%"
"05/01/2023","0.9353","0.9061","0.9403","0.9015","","3.11%"
"04/01/2023","0.9071","0.9219","0.9270","0.9012","","-1.65%"
"03/01/2023","0.9223","0.9456","0.9510","0.9148","","-2.42%"
"02/01/2023","0.9452","0.9204","0.9495","0.9063","","2.68%"
"01/01/2023","0.9205","0.9344","0.9539","0.9149","","-1.46%"
"12/01/2022","0.9341","0.9609","0.9622","0.9314","","-2.77%"
"11/01/2022","0.9607","1.0120","1.0278","0.9526","","-5.01%"
"10/01/2022","1.0114","1.0204","1.0382","0.9906","","-0.85%"
"09/01/2022","1.0201","0.9945","1.0487","0.9805","","2.64%"
"08/01/2022","0.9939","0.9787","1.0101","0.9643","","1.59%"
"07/01/2022","0.9783","0.9541","1.0049","0.9536","","2.58%"
"06/01/2022","0.9537","0.9316","0.9654","0.9281","","2.39%"
"05/01/2022","0.9314","0.9478","0.9663","0.9270","","-1.78%"
"04/01/2022","0.9483","0.9038","0.9550","0.9028","","4.97%"
"03/01/2022","0.9034","0.8914","0.9255","0.8902","","1.39%"
"02/01/2022","0.8910","0.8902","0.9004","0.8698","","0.12%"
"01/01/2022","0.8899","0.8798","0.8992","0.8708","","1.19%"
"12/01/2021","0.8794","0.8820","0.8911","0.8782","","-0.28%"
"11/01/2021","0.8819","0.8651","0.8940","0.8608","","1.99%"
"10/01/2021","0.8647","0.8634","0.8677","0.8552","","0.17%"
"09/01/2021","0.8632","0.8468","0.8649","0.8397","","1.95%"
"08/01/2021","0.8467","0.8429","0.8574","0.8403","","0.52%"
"07/01/2021","0.8423","0.8432","0.8510","0.8396","","-0.12%"
"06/01/2021","0.8433","0.8178","0.8443","0.8160","","3.13%"
"05/01/2021","0.8177","0.8311","0.8343","0.8152","","-1.70%"
"04/01/2021","0.8318","0.8525","0.8538","0.8230","","-2.42%"
"03/01/2021","0.8524","0.8278","0.8544","0.8255","","2.95%"
"02/01/2021","0.8280","0.8238","0.8367","0.8168","","0.50%"
"01/01/2021","0.8239","0.8176","0.8296","0.8098","","0.66%"
"12/01/2020","0.8185","0.8383","0.8385","0.8123","","-2.34%"
"11/01/2020","0.8381","0.8577","0.8618","0.8330","","-2.35%"
"10/01/2020","0.8583","0.8533","0.8591","0.8417","","0.61%"
"09/01/2020","0.8531","0.8378","0.8612","0.8325","","1.84%"
"08/01/2020","0.8377","0.8486","0.8550","0.8357","","-1.31%"
"07/01/2020","0.8488","0.8903","0.8941","0.8397","","-4.64%"
"06/01/2020","0.8901","0.9011","0.9013","0.8755","","-1.20%"
"05/01/2020","0.9009","0.9128","0.9288","0.8971","","-1.27%"
"04/01/2020","0.9125","0.9065","0.9323","0.9058","","0.67%"
"03/01/2020","0.9064","0.9089","0.9402","0.8701","","-0.04%"
"02/01/2020","0.9068","0.9015","0.9280","0.9012","","0.61%"
"01/01/2020","0.9013","0.8918","0.9098","0.8907","","1.08%"
"12/01/2019","0.8917","0.9079","0.9089","0.8897","","-1.74%"
"11/01/2019","0.9075","0.8967","0.9107","0.8948","","1.23%"
"10/01/2019","0.8965","0.9174","0.9193","0.8945","","-2.27%"
"09/01/2019","0.9173","0.9100","0.9187","0.9001","","0.84%"
"08/01/2019","0.9097","0.9029","0.9122","0.8888","","0.78%"
"07/01/2019","0.9027","0.8795","0.9042","0.8791","","2.65%"
"06/01/2019","0.8794","0.8954","0.8964","0.8762","","-1.63%"
"05/01/2019","0.8940","0.8916","0.9003","0.8876","","0.27%"
"04/01/2019","0.8916","0.8914","0.9000","0.8829","","0.03%"
"03/01/2019","0.8913","0.8785","0.8948","0.8734","","1.35%"
"02/01/2019","0.8794","0.8737","0.8903","0.8704","","0.68%"
"01/01/2019","0.8735","0.8722","0.8859","0.8643","","0.21%"
"12/01/2018","0.8717","0.8838","0.8874","0.8705","","-1.34%"
"11/01/2018","0.8835","0.8841","0.8917","0.8695","","-0.05%"
"10/01/2018","0.8839","0.8615","0.8849","0.8600","","2.62%"
"09/01/2018","0.8613","0.8623","0.8676","0.8463","","-0.05%"
"08/01/2018","0.8617","0.8554","0.8850","0.8522","","0.75%"
"07/01/2018","0.8553","0.8583","0.8640","0.8481","","-0.05%"
"06/01/2018","0.8557","0.8553","0.8690","0.8437","","0.07%"
"05/01/2018","0.8551","0.8280","0.8689","0.8273","","3.30%"
"04/01/2018","0.8278","0.8115","0.8296","0.8055","","2.02%"
"03/01/2018","0.8114","0.8200","0.8227","0.8015","","-1.04%"
"02/01/2018","0.8199","0.8055","0.8205","0.7965","","1.85%"
"01/01/2018","0.8050","0.8332","0.8392","0.7976","","-3.40%"
"12/01/2017","0.8333","0.8400","0.8535","0.8313","","-0.79%"
"11/01/2017","0.8399","0.8587","0.8655","0.8360","","-2.17%"
"10/01/2017","0.8585","0.8462","0.8640","0.8417","","1.44%"
"09/01/2017","0.8463","0.8396","0.8535","0.8269","","0.81%"
"08/01/2017","0.8395","0.8444","0.8575","0.8285","","-0.57%"
"07/01/2017","0.8443","0.8756","0.8840","0.8441","","-3.51%"
"06/01/2017","0.8750","0.8894","0.8995","0.8736","","-1.60%"
"05/01/2017","0.8892","0.9168","0.9226","0.8874","","-3.08%"
"04/01/2017","0.9175","0.9380","0.9462","0.9131","","-2.24%"
"03/01/2017","0.9385","0.9456","0.9529","0.9169","","-0.72%"
"02/01/2017","0.9453","0.9262","0.9530","0.9234","","2.10%"
"01/01/2017","0.9259","0.9496","0.9671","0.9248","","-2.61%"
"12/01/2016","0.9507","0.9445","0.9661","0.9197","","0.68%"
"11/01/2016","0.9443","0.9107","0.9509","0.8849","","3.71%"
"10/01/2016","0.9105","0.8900","0.9217","0.8892","","2.37%"
"09/01/2016","0.8894","0.8963","0.8992","0.8828","","-0.73%"
"08/01/2016","0.8959","0.8947","0.9054","0.8798","","0.11%"
"07/01/2016","0.8949","0.9005","0.9131","0.8930","","-0.60%"
"06/01/2016","0.9003","0.8983","0.9165","0.8745","","0.24%"
"05/01/2016","0.8981","0.8737","0.9011","0.8609","","2.90%"
"04/01/2016","0.8728","0.8787","0.8916","0.8722","","-0.66%"
"03/01/2016","0.8786","0.9198","0.9241","0.8762","","-4.45%"
"02/01/2016","0.9195","0.9231","0.9247","0.8790","","-0.34%"
"01/01/2016","0.9226","0.9208","0.9337","0.9103","","0.21%"
"12/01/2015","0.9207","0.9463","0.9489","0.9041","","-2.72%"
"11/01/2015","0.9464","0.9068","0.9472","0.9047","","4.16%"
"10/01/2015","0.9086","0.8947","0.9179","0.8698","","1.56%"
"09/01/2015","0.8946","0.8920","0.9020","0.8726","","0.36%"
"08/01/2015","0.8914","0.9116","0.9218","0.8539","","-2.04%"
"07/01/2015","0.9100","0.8976","0.9251","0.8916","","1.37%"
"06/01/2015","0.8977","0.9102","0.9186","0.8744","","-1.35%"
"05/01/2015","0.9100","0.8910","0.9243","0.8719","","2.17%"
"04/01/2015","0.8907","0.9315","0.9506","0.8875","","-4.41%"
"03/01/2015","0.9318","0.8939","0.9563","0.8896","","4.34%"
"02/01/2015","0.8930","0.8862","0.8949","0.8670","","0.82%"
"01/01/2015","0.8857","0.8266","0.9010","0.8258","","7.18%"
"12/01/2014","0.8264","0.8030","0.8267","0.7955","","2.91%"
"11/01/2014","0.8030","0.7988","0.8092","0.7936","","0.58%"
"10/01/2014","0.7984","0.7917","0.8009","0.7760","","0.86%"
"09/01/2014","0.7916","0.7612","0.7954","0.7599","","3.97%"
"08/01/2014","0.7614","0.7468","0.7615","0.7437","","1.96%"
"07/01/2014","0.7468","0.7304","0.7481","0.7298","","2.26%"
"06/01/2014","0.7303","0.7334","0.7405","0.7301","","-0.45%"
"05/01/2014","0.7336","0.7211","0.7361","0.7146","","1.75%"
"04/01/2014","0.7210","0.7262","0.7315","0.7192","","-0.70%"
"03/01/2014","0.7261","0.7254","0.7297","0.7160","","0.22%"
"02/01/2014","0.7245","0.7412","0.7420","0.7233","","-2.27%"
"01/01/2014","0.7413","0.7275","0.7419","0.7259","","1.91%"
"12/01/2013","0.7274","0.7358","0.7394","0.7197","","-1.13%"
"11/01/2013","0.7357","0.7362","0.7521","0.7341","","-0.04%"
"10/01/2013","0.7360","0.7393","0.7423","0.7229","","-0.43%"
"09/01/2013","0.7392","0.7556","0.7631","0.7369","","-2.25%"
"08/01/2013","0.7562","0.7517","0.7592","0.7434","","0.61%"
"07/01/2013","0.7516","0.7686","0.7840","0.7494","","-2.20%"
"06/01/2013","0.7685","0.7736","0.7719","0.7454","","-0.08%"
"05/01/2013","0.7691","0.7594","0.7815","0.7552","","1.28%"
"04/01/2013","0.7594","0.7806","0.7845","0.7574","","-2.62%"
"03/01/2013","0.7798","0.7655","0.7843","0.7613","","1.89%"
