Date,Price
2024-07-16,0.0027
2024-06-28,0.00269
2024-05-31,0.00276
2024-04-30,0.0027
2024-03-29,0.00271
2024-02-29,0.00273
2024-01-31,0.0028
2023-12-29,0.00286
2023-11-30,0.00284
2023-10-31,0.00274
2023-09-29,0.00269
2023-08-31,0.00282
2023-07-31,0.00282
2023-06-30,0.0029
2023-05-31,0.00286
2023-04-28,0.00293
2023-03-31,0.00283
2023-02-28,0.00277
2023-01-31,0.00276
2022-12-30,0.00266
2022-11-30,0.00252
2022-10-31,0.00239
2022-09-30,0.00229
2022-08-31,0.00248
2022-07-29,0.00251
2022-06-30,0.00262
2022-05-31,0.00268
2022-04-29,0.00275
2022-03-31,0.00299
2022-02-28,0.003
2022-01-31,0.00314
2021-12-31,0.00306
2021-11-30,0.00309
2021-10-29,0.00319
2021-09-30,0.0032
2021-08-31,0.00336
2021-07-30,0.00329
2021-06-30,0.00335
2021-05-31,0.0035
2021-04-30,0.00332
2021-03-31,0.00321
2021-02-26,0.00331
2021-01-29,0.00337
2020-12-31,0.00335
2020-11-30,0.0033
2020-10-30,0.00315
2020-09-30,0.0032
2020-08-31,0.00334
2020-07-31,0.0034
2020-06-30,0.00314
2020-05-29,0.00318
2020-04-30,0.00308
2020-03-31,0.00303
2020-02-28,0.00324
2020-01-31,0.00327
2019-12-31,0.00336
2019-11-29,0.00327
2019-10-31,0.00337
2019-09-30,0.00323
2019-08-30,0.00329
2019-07-31,0.00337
2019-06-28,0.0035
2019-05-31,0.00341
2019-04-30,0.00344
2019-03-29,0.00347
2019-02-28,0.00358
2019-01-31,0.0036
2018-12-31,0.00355
2018-11-30,0.00347
2018-10-31,0.00346
2018-09-28,0.00357
2018-08-31,0.00353
2018-07-31,0.00362
2018-06-29,0.00353
2018-05-31,0.00364
2018-04-30,0.00383
2018-03-30,0.00392
2018-02-28,0.00386
2018-01-31,0.00398
2017-12-29,0.00384
2017-11-30,0.00377
2017-10-31,0.00372
2017-09-29,0.00377
2017-08-31,0.00387
2017-07-31,0.00387
2017-06-30,0.00368
2017-05-31,0.00362
2017-04-28,0.00345
2017-03-31,0.00343
2017-02-28,0.00341
2017-01-31,0.00346
2016-12-30,0.00338
2016-11-30,0.00336
2016-10-31,0.00353
2016-09-30,0.0036
2016-08-31,0.00358
2016-07-29,0.00354
2016-06-30,0.00349
2016-05-31,0.00352
2016-04-29,0.00364
2016-03-31,0.0036
2016-02-29,0.00349
2016-01-29,0.00346
2015-12-31,0.00345
2015-11-30,0.00338
2015-10-30,0.00353
2015-09-30,0.00354
2015-08-31,0.00355
2015-07-31,0.00357
2015-06-30,0.00351
2015-05-29,0.00353
2015-04-30,0.00367
2015-03-31,0.00355
2015-02-27,0.00367
2015-01-30,0.00361
2014-12-31,0.00385
