"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","83.568","83.368","83.622","83.357","","0.24%"
"06/01/2024","83.368","83.461","85.193","82.975","","-0.07%"
"05/01/2024","83.424","83.499","83.618","83.032","","-0.03%"
"04/01/2024","83.450","83.343","83.747","83.147","","0.12%"
"03/01/2024","83.350","82.926","83.733","82.645","","0.54%"
"02/01/2024","82.900","83.083","83.127","82.812","","-0.23%"
"01/01/2024","83.095","83.240","83.359","82.767","","-0.11%"
"12/01/2023","83.190","83.356","83.465","82.910","","-0.20%"
"11/01/2023","83.357","83.278","83.499","82.906","","0.12%"
"10/01/2023","83.256","83.165","83.348","82.956","","0.27%"
"09/01/2023","83.030","82.647","83.360","82.576","","0.40%"
"08/01/2023","82.702","82.240","83.467","82.222","","0.56%"
"07/01/2023","82.240","82.061","82.821","81.666","","0.18%"
"06/01/2023","82.091","82.666","82.697","81.841","","-0.71%"
"05/01/2023","82.680","81.795","82.953","81.650","","1.17%"
"04/01/2023","81.720","82.391","82.484","81.547","","-0.54%"
"03/01/2023","82.160","82.588","82.920","81.610","","-0.58%"
"02/01/2023","82.640","81.765","83.047","81.676","","1.10%"
"01/01/2023","81.739","82.670","83.038","80.874","","-1.18%"
"12/01/2022","82.717","81.151","82.993","80.985","","1.67%"
"11/01/2022","81.359","82.817","82.996","80.483","","-1.70%"
"10/01/2022","82.770","81.532","83.268","81.284","","1.55%"
"09/01/2022","81.509","79.535","82.020","79.010","","2.54%"
"08/01/2022","79.491","79.185","80.135","78.393","","0.20%"
"07/01/2022","79.336","78.970","80.235","78.805","","0.49%"
"06/01/2022","78.950","77.646","79.095","77.380","","1.78%"
"05/01/2022","77.569","76.505","77.915","75.990","","1.37%"
"04/01/2022","76.520","75.925","76.806","75.266","","0.82%"
"03/01/2022","75.901","75.289","77.187","75.260","","0.54%"
"02/01/2022","75.493","74.563","75.848","74.343","","1.29%"
"01/01/2022","74.529","74.463","75.327","73.748","","0.08%"
"12/01/2021","74.467","75.080","76.419","74.093","","-0.83%"
"11/01/2021","75.090","74.960","75.201","73.834","","0.23%"
"10/01/2021","74.915","74.185","75.683","74.081","","1.01%"
"09/01/2021","74.164","72.992","74.368","72.913","","1.67%"
"08/01/2021","72.947","74.368","74.514","72.907","","-1.87%"
"07/01/2021","74.337","74.374","75.031","74.218","","-0.03%"
"06/01/2021","74.360","72.508","74.471","72.483","","2.55%"
"05/01/2021","72.511","74.279","74.332","72.315","","-2.08%"
"04/01/2021","74.050","73.169","75.570","73.155","","1.25%"
"03/01/2021","73.137","73.585","73.783","72.268","","-1.06%"
"02/01/2021","73.920","72.918","74.060","72.263","","1.43%"
"01/01/2021","72.877","73.100","73.600","72.785","","-0.22%"
"12/01/2020","73.036","74.025","74.104","72.951","","-1.29%"
"11/01/2020","73.990","74.567","75.015","73.637","","-0.76%"
"10/01/2020","74.554","73.595","74.712","72.969","","1.35%"
"09/01/2020","73.560","73.215","74.055","72.753","","0.42%"
"08/01/2020","73.254","74.918","75.314","73.050","","-2.22%"
"07/01/2020","74.916","75.525","75.625","74.488","","-0.83%"
"06/01/2020","75.540","75.470","76.400","74.973","","-0.07%"
"05/01/2020","75.590","75.319","76.145","75.038","","0.68%"
"04/01/2020","75.077","75.320","77.010","74.909","","-0.34%"
"03/01/2020","75.333","72.527","76.385","72.026","","3.86%"
"02/01/2020","72.534","71.525","72.574","71.088","","1.39%"
"01/01/2020","71.540","71.365","72.125","70.678","","0.27%"
"12/01/2019","71.350","71.785","71.825","70.510","","-0.55%"
"11/01/2019","71.746","70.975","72.245","70.555","","1.08%"
"10/01/2019","70.978","70.660","71.725","70.660","","0.48%"
"09/01/2019","70.640","71.455","72.409","70.354","","-1.14%"
"08/01/2019","71.451","69.257","72.262","68.999","","3.76%"
"07/01/2019","68.860","68.962","69.160","68.282","","-0.12%"
"06/01/2019","68.940","69.607","69.992","68.868","","-0.91%"
"05/01/2019","69.570","69.580","70.649","69.095","","-0.09%"
"04/01/2019","69.636","69.342","70.340","68.384","","0.66%"
"03/01/2019","69.180","70.826","71.000","68.350","","-2.33%"
"02/01/2019","70.830","71.105","71.852","70.398","","-0.17%"
