"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","1,384.35","1,379.95","1,391.97","1,370.43","","0.22%"
"06/01/2024","1,381.29","1,383.10","1,395.20","1,363.32","","-0.03%"
"05/01/2024","1,381.68","1,384.97","1,388.65","1,343.07","","-0.27%"
"04/01/2024","1,385.38","1,346.33","1,400.82","1,342.76","","3.00%"
"03/01/2024","1,345.09","1,335.81","1,353.61","1,307.02","","0.77%"
"02/01/2024","1,334.78","1,334.46","1,343.97","1,320.36","","0.09%"
"01/01/2024","1,333.59","1,294.80","1,350.61","1,290.95","","3.03%"
"12/01/2023","1,294.40","1,300.91","1,327.93","1,283.82","","-0.38%"
"11/01/2023","1,299.35","1,352.15","1,359.20","1,283.11","","-3.90%"
"10/01/2023","1,352.15","1,352.12","1,363.76","1,334.86","","-0.01%"
"09/01/2023","1,352.31","1,325.46","1,360.16","1,311.88","","2.05%"
"08/01/2023","1,325.14","1,278.28","1,345.77","1,274.88","","3.70%"
"07/01/2023","1,277.86","1,316.97","1,317.31","1,256.71","","-2.83%"
"06/01/2023","1,315.11","1,322.33","1,325.07","1,265.75","","-0.41%"
"05/01/2023","1,320.56","1,338.17","1,344.13","1,307.65","","-1.29%"
"04/01/2023","1,337.78","1,306.47","1,346.63","1,294.29","","2.42%"
"03/01/2023","1,306.11","1,323.44","1,329.78","1,275.81","","-1.28%"
"02/01/2023","1,323.02","1,233.72","1,327.21","1,215.83","","7.27%"
"01/01/2023","1,233.30","1,261.95","1,281.26","1,224.96","","-2.19%"
"12/01/2022","1,260.92","1,301.72","1,326.55","1,253.26","","-3.13%"
"11/01/2022","1,301.65","1,427.03","1,429.63","1,300.60","","-8.71%"
"10/01/2022","1,425.83","1,440.23","1,446.62","1,397.24","","-0.98%"
"09/01/2022","1,439.96","1,341.76","1,445.64","1,341.10","","7.36%"
"08/01/2022","1,341.19","1,303.29","1,353.54","1,294.54","","2.93%"
"07/01/2022","1,302.97","1,288.05","1,329.58","1,287.80","","1.20%"
"06/01/2022","1,287.51","1,242.48","1,307.92","1,238.47","","3.64%"
"05/01/2022","1,242.26","1,264.65","1,293.14","1,234.43","","-1.64%"
"04/01/2022","1,263.03","1,215.13","1,276.56","1,210.31","","4.02%"
"03/01/2022","1,214.17","1,201.18","1,247.35","1,197.68","","1.17%"
"02/01/2022","1,200.12","1,204.75","1,211.47","1,189.64","","-0.37%"
"01/01/2022","1,204.63","1,189.80","1,213.86","1,184.04","","1.40%"
"12/01/2021","1,187.96","1,182.84","1,193.81","1,172.62","","0.44%"
"11/01/2021","1,182.71","1,174.61","1,196.56","1,173.18","","0.70%"
"10/01/2021","1,174.47","1,184.78","1,200.90","1,163.75","","-0.82%"
"09/01/2021","1,184.23","1,158.95","1,192.41","1,152.54","","2.20%"
"08/01/2021","1,158.73","1,151.90","1,184.85","1,139.91","","0.64%"
"07/01/2021","1,151.41","1,130.63","1,159.96","1,128.00","","1.85%"
"06/01/2021","1,130.48","1,108.08","1,139.47","1,104.69","","2.16%"
"05/01/2021","1,106.58","1,117.76","1,139.79","1,106.50","","-0.95%"
"04/01/2021","1,117.16","1,127.96","1,133.82","1,105.30","","-0.89%"
"03/01/2021","1,127.17","1,124.89","1,145.60","1,102.06","","0.29%"
"02/01/2021","1,123.89","1,118.43","1,130.33","1,096.91","","0.56%"
"01/01/2021","1,117.64","1,085.69","1,121.76","1,080.02","","3.06%"
"12/01/2020","1,084.47","1,109.82","1,112.74","1,080.39","","-2.24%"
"11/01/2020","1,109.32","1,136.60","1,147.82","1,101.61","","-2.39%"
"10/01/2020","1,136.49","1,164.75","1,168.28","1,124.69","","-2.42%"
"09/01/2020","1,164.65","1,188.07","1,193.21","1,156.46","","-1.96%"
"08/01/2020","1,187.94","1,194.10","1,197.12","1,176.04","","-0.47%"
"07/01/2020","1,193.59","1,199.44","1,208.74","1,186.27","","-0.47%"
"06/01/2020","1,199.28","1,231.47","1,232.19","1,184.24","","-2.62%"
"05/01/2020","1,231.49","1,213.94","1,244.89","1,213.10","","1.53%"
"04/01/2020","1,212.94","1,218.80","1,243.29","1,203.52","","-0.44%"
"03/01/2020","1,218.30","1,200.21","1,292.93","1,178.81","","1.51%"
"02/01/2020","1,200.20","1,195.96","1,222.96","1,176.06","","0.44%"
"01/01/2020","1,194.97","1,155.07","1,198.55","1,150.30","","3.54%"
"12/01/2019","1,154.07","1,181.42","1,196.20","1,152.94","","-2.26%"
"11/01/2019","1,180.70","1,170.24","1,182.76","1,152.73","","0.98%"
"10/01/2019","1,169.24","1,199.09","1,207.89","1,159.17","","-2.41%"
"09/01/2019","1,198.09","1,209.77","1,217.50","1,175.31","","-0.94%"
"08/01/2019","1,209.50","1,188.32","1,224.55","1,185.88","","1.87%"
"07/01/2019","1,187.32","1,156.43","1,189.35","1,148.70","","2.76%"
"06/01/2019","1,155.38","1,188.80","1,191.20","1,151.89","","-2.73%"
"05/01/2019","1,187.80","1,164.25","1,197.09","1,160.21","","2.11%"
"04/01/2019","1,163.25","1,137.02","1,169.69","1,130.82","","2.39%"
"03/01/2019","1,136.10","1,125.95","1,140.36","1,123.36","","1.02%"
"02/01/2019","1,124.60","1,112.40","1,130.89","1,110.73","","1.19%"
"01/01/2019","1,111.40","1,114.30","1,134.65","1,108.54","","-0.17%"
"12/01/2018","1,113.30","1,120.56","1,135.65","1,103.93","","-0.55%"
"11/01/2018","1,119.44","1,142.03","1,142.76","1,110.83","","-1.89%"
"10/01/2018","1,141.02","1,110.00","1,147.18","1,108.39","","2.80%"
"09/01/2018","1,109.98","1,115.65","1,131.77","1,107.14","","-0.49%"
"08/01/2018","1,115.46","1,113.25","1,138.89","1,104.08","","0.29%"
"07/01/2018","1,112.25","1,115.01","1,141.11","1,109.25","","-0.15%"
"06/01/2018","1,113.91","1,080.59","1,126.10","1,065.78","","3.18%"
"05/01/2018","1,079.59","1,070.45","1,087.59","1,064.14","","0.96%"
"04/01/2018","1,069.33","1,060.56","1,084.95","1,052.78","","0.86%"
"03/01/2018","1,060.25","1,085.21","1,088.32","1,060.47","","-2.21%"
"02/01/2018","1,084.21","1,070.12","1,099.04","1,061.85","","1.42%"
"01/01/2018","1,069.08","1,067.38","1,077.85","1,055.67","","0.25%"
"12/01/2017","1,066.37","1,088.14","1,097.08","1,063.94","","-1.91%"
"11/01/2017","1,087.13","1,118.42","1,122.38","1,074.71","","-2.71%"
