Date,Price
2024-07-16,0.05661
2024-06-30,0.05475
2024-05-30,0.0588
2024-04-30,0.05831
2024-03-31,0.0604
2024-02-29,0.05865
2024-01-31,0.05808
2023-12-31,0.05895
2023-11-30,0.05755
2023-10-31,0.05541
2023-09-28,0.05702
2023-08-31,0.05883
2023-07-31,0.05974
2023-06-29,0.05846
2023-05-31,0.05657
2023-04-30,0.05558
2023-03-30,0.05528
2023-02-28,0.05464
2023-01-31,0.05307
2022-12-29,0.05139
2022-11-30,0.05191
2022-10-31,0.05052
2022-09-29,0.04969
2022-08-31,0.04954
2022-07-31,0.04908
2022-06-30,0.04974
2022-05-31,0.05089
2022-04-28,0.04892
2022-03-31,0.05031
2022-02-28,0.04887
2022-01-31,0.04848
2021-12-30,0.04888
2021-11-30,0.0467
2021-10-31,0.04865
2021-09-30,0.04851
2021-08-31,0.04985
2021-07-29,0.05037
2021-06-30,0.05016
2021-05-31,0.05021
2021-04-29,0.04994
2021-03-31,0.04895
2021-02-28,0.0481
2021-01-31,0.04877
2020-12-31,0.05032
2020-11-30,0.0496
2020-10-29,0.04685
2020-09-30,0.04529
2020-08-31,0.04564
2020-07-30,0.04546
2020-06-30,0.04347
2020-05-31,0.04508
2020-04-30,0.0413
2020-03-31,0.0421
2020-02-27,0.05139
2020-01-30,0.05325
2019-12-31,0.05286
2019-11-28,0.05131
2019-10-31,0.05198
2019-09-30,0.05067
2019-08-29,0.0497
2019-07-31,0.05226
2019-06-30,0.05226
2019-05-30,0.05122
2019-04-30,0.0528
2019-03-31,0.05174
2019-02-28,0.05191
2019-01-31,0.05237
2018-12-31,0.05093
2018-11-29,0.04944
2018-10-31,0.04922
2018-09-30,0.05355
2018-08-30,0.05236
2018-07-31,0.05358
2018-06-28,0.05069
2018-05-31,0.05024
2018-04-30,0.05348
2018-03-29,0.05504
2018-02-28,0.05307
2018-01-31,0.05455
2017-12-31,0.05089
2017-11-30,0.05373
2017-10-31,0.05231
2017-09-28,0.05517
2017-08-31,0.05615
2017-07-31,0.05593
2017-06-29,0.05521
2017-05-31,0.05363
2017-04-30,0.05339
2017-03-30,0.0535
2017-02-28,0.05037
2017-01-31,0.04829
2016-12-29,0.04827
2016-11-30,0.04817
2016-10-31,0.05216
2016-09-29,0.05163
2016-08-31,0.05335
2016-07-31,0.05302
2016-06-30,0.0545
2016-05-31,0.05405
2016-04-28,0.05823
2016-03-31,0.05771
2016-02-29,0.05585
2016-01-31,0.05482
2015-12-31,0.0579
2015-11-30,0.06055
2015-10-29,0.06068
2015-09-30,0.05915
2015-08-31,0.05898
2015-07-30,0.06209
2015-06-30,0.06339
2015-05-31,0.06462
2015-04-30,0.06431
2015-03-31,0.06607
2015-02-26,0.06693
2015-01-29,0.06684
2014-12-31,0.06778
2014-11-30,0.07155
2014-10-30,0.0742
2014-09-30,0.07434
2014-08-31,0.07635
