Date,Price
2024-07-16,0.2134
2024-06-28,0.2115
2024-05-31,0.2119
2024-04-30,0.209
2024-03-29,0.2112
2024-02-29,0.2103
2024-01-31,0.211
2023-12-29,0.2174
2023-11-30,0.2142
2023-10-31,0.2094
2023-09-29,0.2125
2023-08-31,0.2151
2023-07-31,0.2213
2023-06-30,0.2138
2023-05-31,0.2162
2023-04-28,0.2237
2023-03-31,0.2262
2023-02-28,0.2224
2023-01-31,0.2339
2022-12-30,0.2266
2022-11-30,0.2244
2022-10-31,0.211
2022-09-30,0.2151
2022-08-31,0.2229
2022-07-29,0.2242
2022-06-30,0.2263
2022-05-31,0.2278
2022-04-29,0.2291
2022-03-31,0.2373
2022-02-28,0.2377
2022-01-31,0.2384
2021-12-31,0.2395
2021-11-30,0.2375
2021-10-29,0.241
2021-09-30,0.2383
2021-08-31,0.24
2021-07-30,0.2364
2021-06-30,0.2403
2021-05-31,0.242
2021-04-30,0.2437
2021-03-31,0.2406
2021-02-26,0.2461
2021-01-29,0.2469
2020-12-31,0.2481
2020-11-30,0.2449
2020-10-30,0.2403
2020-09-30,0.2401
2020-08-31,0.2396
2020-07-31,0.2354
2020-06-30,0.2329
2020-05-29,0.2295
2020-04-30,0.2323
2020-03-31,0.2312
2020-02-28,0.2368
2020-01-31,0.2436
2019-12-31,0.2439
2019-11-29,0.2389
2019-10-31,0.2387
2019-09-30,0.2383
2019-08-30,0.2373
2019-07-31,0.2418
2019-06-28,0.2415
2019-05-31,0.2381
2019-04-30,0.2414
2019-03-29,0.2444
2019-02-28,0.2454
2019-01-31,0.2436
2018-12-31,0.2415
2018-11-30,0.2385
2018-10-31,0.2384
2018-09-28,0.2411
2018-08-31,0.2428
2018-07-31,0.2457
2018-06-29,0.247
2018-05-31,0.2507
2018-04-30,0.2544
2018-03-30,0.2583
2018-02-28,0.2548
2018-01-31,0.2558
2017-12-29,0.2466
2017-11-30,0.244
2017-10-31,0.2357
2017-09-29,0.2364
2017-08-31,0.2336
2017-07-31,0.233
2017-06-30,0.2324
2017-05-31,0.2327
2017-04-28,0.2298
2017-03-31,0.2254
2017-02-28,0.2247
2017-01-31,0.2252
2016-12-30,0.2224
2016-11-30,0.2231
2016-10-31,0.238
2016-09-30,0.2412
2016-08-31,0.245
2016-07-29,0.2476
2016-06-30,0.2504
2016-05-31,0.2419
2016-04-29,0.2551
2016-03-31,0.2564
2016-02-29,0.2375
2016-01-29,0.2409
2015-12-31,0.2322
2015-11-30,0.2343
2015-10-30,0.2324
2015-09-30,0.227
2015-08-31,0.2379
2015-07-31,0.2615
2015-06-30,0.2645
2015-05-29,0.2723
2015-04-30,0.2803
2015-03-31,0.2695
2015-02-27,0.2764
2015-01-30,0.2749
2014-12-31,0.2854
