Date,Price
2024-07-16,0.0005
2024-06-28,0.00061
2024-05-31,0.00062
2024-04-30,0.00067
2024-03-29,0.00072
2024-02-29,0.00057
2024-01-31,0.00079
2023-12-29,0.00108
2023-11-30,0.00122
2023-10-31,0.00105
2023-09-29,0.00125
2023-08-31,0.00124
2023-07-31,0.00127
2023-06-30,0.00127
2023-05-31,0.00212
2023-04-28,0.00212
2023-03-31,0.00212
2023-02-28,0.00212
2023-01-31,0.00212
2022-12-30,0.00218
2022-11-30,0.0022
2022-10-31,0.00223
2022-09-30,0.00226
2022-08-31,0.00232
2022-07-29,0.00236
2022-06-30,0.00236
2022-05-31,0.00236
2022-04-29,0.00236
2022-03-31,0.00236
2022-02-28,0.00235
2022-01-31,0.00236
2021-12-31,0.00237
2021-11-30,0.00239
2021-10-29,0.00238
2021-09-30,0.00238
2021-08-31,0.00238
2021-07-30,0.00238
2021-06-30,0.00239
2021-05-28,0.00237
2021-04-30,0.00258
2021-03-31,0.00257
2021-02-25,0.00258
2021-01-27,0.00258
2020-12-29,0.00257
2020-11-30,0.00258
2020-10-30,0.00258
2020-09-30,0.00258
2020-08-18,0.00258
2020-07-30,0.00253
2020-06-30,0.00253
2020-05-29,0.00253
2020-04-30,0.00251
2020-03-18,0.00268
2020-02-28,0.00269
2020-01-31,0.00272
2019-12-31,0.00271
2019-11-29,0.00271
2019-10-31,0.00271
2019-09-30,0.00272
2019-08-30,0.00271
2019-07-31,0.00273
2019-06-28,0.00273
2019-05-31,0.00273
2019-04-29,0.00272
2019-03-29,0.00273
2019-02-28,0.00272
2019-01-31,0.00271
2018-12-31,0.00269
2018-11-30,0.0027
2018-10-31,0.0027
2018-09-28,0.00271
2018-08-24,0.00271
2018-07-31,0.00273
2018-06-28,0.00273
2018-05-31,0.00272
2018-04-30,0.00273
2018-03-30,0.00273
2018-02-28,0.00272
2018-01-31,0.00273
2017-12-29,0.00273
2017-11-30,0.00273
2017-10-31,0.00274
2017-09-22,0.00276
2017-08-24,0.00267
2017-07-27,0.0028
2017-06-29,0.0028
2017-05-30,0.00302
2017-04-27,0.00313
2017-03-31,0.0031
2017-02-28,0.0031
2017-01-31,0.0031
2016-12-30,0.00323
2016-11-30,0.00312
2016-10-31,0.00323
2016-09-30,0.00323
2016-08-31,0.00323
2016-07-29,0.00308
2016-06-30,0.00349
2016-05-31,0.00499
2016-04-29,0.00497
2016-03-31,0.00499
2016-02-29,0.00497
2016-01-29,0.00497
2015-12-31,0.00497
2015-11-30,0.00497
2015-10-30,0.00497
2015-09-30,0.00499
2015-08-31,0.00497
2015-07-31,0.00501
2015-06-30,0.00497
2015-05-29,0.00497
2015-04-30,0.00499
2015-03-31,0.00497
2015-02-27,0.00488
2015-01-30,0.00519
2014-12-31,0.00539
