Date,Price
2024-07-16,0.09244
2024-06-30,0.0938
2024-05-30,0.09477
2024-04-30,0.08997
2024-03-31,0.09221
2024-02-29,0.09418
2024-01-31,0.09511
2023-12-31,0.0984
2023-11-30,0.09255
2023-10-31,0.08958
2023-09-28,0.09324
2023-08-31,0.09412
2023-07-31,0.09888
2023-06-29,0.0926
2023-05-31,0.09039
2023-04-30,0.0937
2023-03-30,0.0962
2023-02-28,0.09632
2023-01-31,0.1002
2022-12-29,0.10122
2022-11-30,0.10181
2022-10-31,0.09633
2022-09-29,0.09367
2022-08-31,0.1005
2022-07-31,0.10325
2022-06-30,0.10162
2022-05-31,0.10694
2022-04-28,0.10625
2022-03-31,0.11386
2022-02-28,0.11356
2022-01-31,0.11232
2021-12-30,0.11361
2021-11-30,0.11047
2021-10-31,0.11829
2021-09-30,0.11432
2021-08-31,0.11513
2021-07-29,0.11457
2021-06-30,0.11619
2021-05-31,0.12038
2021-04-29,0.12226
2021-03-31,0.11703
2021-02-28,0.11587
2021-01-31,0.11625
2020-12-31,0.13072
2020-11-30,0.11257
2020-10-29,0.10501
2020-09-30,0.10724
2020-08-31,0.11462
2020-07-30,0.1105
2020-06-30,0.10393
2020-05-31,0.10281
2020-04-30,0.0976
2020-03-31,0.09606
2020-02-27,0.10653
2020-01-30,0.10882
2019-12-31,0.11966
2019-11-28,0.10912
2019-10-31,0.10881
2019-09-30,0.10991
2019-08-29,0.10998
2019-07-31,0.11288
2019-06-30,0.11737
2019-05-30,0.11395
2019-04-30,0.11587
2019-03-31,0.11619
2019-02-28,0.11685
2019-01-31,0.11862
2018-12-31,0.11961
2018-11-29,0.11723
2018-10-31,0.11861
2018-09-30,0.1228
2018-08-30,0.11981
2018-07-31,0.12259
2018-06-28,0.12209
2018-05-31,0.12229
2018-04-30,0.12484
2018-03-29,0.12757
2018-02-28,0.12661
2018-01-31,0.12977
2017-12-31,0.12188
2017-11-30,0.1202
2017-10-31,0.12249
2017-09-28,0.12594
2017-08-31,0.12896
2017-07-31,0.12693
2017-06-29,0.1194
2017-05-31,0.11854
2017-04-30,0.11674
2017-03-30,0.11682
2017-02-28,0.1191
2017-01-31,0.1213
2016-12-29,0.11643
2016-11-30,0.11736
2016-10-31,0.121
2016-09-29,0.12422
2016-08-31,0.12
2016-07-31,0.11849
2016-06-30,0.11973
2016-05-31,0.11946
2016-04-28,0.12294
2016-03-31,0.12088
2016-02-29,0.11513
2016-01-31,0.11514
2015-12-31,0.11289
2015-11-30,0.11513
2015-10-29,0.11692
2015-09-30,0.11737
2015-08-31,0.12109
2015-07-30,0.12259
2015-06-30,0.12735
2015-05-31,0.12853
2015-04-30,0.13266
2015-03-31,0.12407
2015-02-26,0.13071
2015-01-29,0.12797
2014-12-31,0.13418
2014-11-30,0.14176
2014-10-30,0.14921
2014-09-30,0.15556
2014-08-31,0.16139
