"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","58.466","58.490","58.865","57.308","","-0.04%"
"06/01/2024","58.490","58.516","59.804","58.265","","-0.15%"
"05/01/2024","58.575","57.847","59.132","56.885","","1.50%"
"04/01/2024","57.710","56.210","57.975","56.110","","2.76%"
"03/01/2024","56.160","56.150","56.435","55.257","","-0.07%"
"02/01/2024","56.200","56.210","56.415","55.660","","-0.16%"
"01/01/2024","56.290","55.404","56.570","55.404","","1.63%"
"12/01/2023","55.388","55.510","56.085","55.225","","-0.13%"
"11/01/2023","55.460","56.800","56.875","55.280","","-2.47%"
"10/01/2023","56.865","56.658","57.050","56.570","","0.31%"
"09/01/2023","56.690","56.650","57.195","56.470","","0.12%"
"08/01/2023","56.620","54.880","56.975","54.710","","3.11%"
"07/01/2023","54.910","55.240","55.729","54.305","","-0.64%"
"06/01/2023","55.264","56.200","56.315","55.078","","-1.93%"
"05/01/2023","56.353","55.510","56.438","55.115","","1.59%"
"04/01/2023","55.470","54.320","56.497","54.280","","2.22%"
"03/01/2023","54.266","55.350","55.490","54.106","","-1.91%"
"02/01/2023","55.320","54.700","55.638","53.630","","1.11%"
"01/01/2023","54.710","55.590","56.145","54.260","","-1.72%"
"12/01/2022","55.670","56.555","56.555","55.025","","-1.42%"
"11/01/2022","56.470","58.160","58.991","56.467","","-2.77%"
"10/01/2022","58.080","58.710","59.181","57.815","","-1.14%"
"09/01/2022","58.750","56.270","59.213","56.210","","4.46%"
"08/01/2022","56.240","55.290","56.340","55.145","","1.63%"
"07/01/2022","55.340","54.980","56.545","54.880","","0.60%"
"06/01/2022","55.010","52.450","55.170","52.365","","4.90%"
"05/01/2022","52.440","52.245","52.724","51.995","","0.25%"
"04/01/2022","52.310","51.720","52.544","51.140","","1.16%"
"03/01/2022","51.710","51.180","52.498","51.180","","1.06%"
"02/01/2022","51.170","51.080","51.561","50.909","","0.20%"
"01/01/2022","51.070","51.130","51.628","50.860","","0.16%"
"12/01/2021","50.990","50.420","51.150","49.810","","1.15%"
"11/01/2021","50.410","50.480","50.820","49.710","","-0.22%"
"10/01/2021","50.521","51.030","51.090","49.977","","-0.98%"
"09/01/2021","51.020","49.640","51.353","49.577","","2.80%"
"08/01/2021","49.630","49.990","50.900","49.537","","-0.68%"
"07/01/2021","49.970","48.910","51.175","48.820","","2.31%"
"06/01/2021","48.840","47.680","48.984","47.530","","2.53%"
"05/01/2021","47.637","48.240","48.265","47.580","","-1.23%"
"04/01/2021","48.230","48.530","48.975","48.090","","-0.70%"
"03/01/2021","48.570","48.603","48.779","48.317","","-0.33%"
"02/01/2021","48.730","48.078","49.000","47.758","","1.39%"
"01/01/2021","48.060","48.020","48.212","47.930","","0.10%"
"12/01/2020","48.010","48.160","48.345","47.638","","-0.23%"
"11/01/2020","48.120","48.510","48.618","47.998","","-0.84%"
"10/01/2020","48.530","48.443","48.833","48.262","","0.12%"
"09/01/2020","48.470","48.460","48.690","48.303","","-0.02%"
"08/01/2020","48.480","49.155","49.274","48.340","","-1.34%"
"07/01/2020","49.140","49.830","49.920","48.990","","-1.21%"
"06/01/2020","49.740","50.520","50.565","49.696","","-1.43%"
"05/01/2020","50.460","50.400","51.010","50.080","","0.04%"
"04/01/2020","50.440","50.880","51.110","50.290","","-0.85%"
"03/01/2020","50.870","51.000","52.150","50.410","","-0.18%"
"02/01/2020","50.960","51.010","51.190","50.395","","-0.08%"
"01/01/2020","51.000","50.620","51.320","50.343","","0.69%"
"12/01/2019","50.650","50.870","51.180","50.435","","-0.37%"
"11/01/2019","50.840","50.740","51.035","50.360","","0.16%"
"10/01/2019","50.760","51.830","52.052","50.713","","-2.01%"
"09/01/2019","51.800","52.130","52.429","51.664","","-0.61%"
"08/01/2019","52.120","51.010","52.810","50.970","","2.24%"
"07/01/2019","50.980","51.250","51.510","50.763","","-0.47%"
"06/01/2019","51.220","52.170","52.295","51.112","","-1.67%"
"05/01/2019","52.090","51.820","52.774","51.630","","0.66%"
"04/01/2019","51.750","52.650","52.700","51.595","","-1.75%"
"03/01/2019","52.670","51.880","53.075","51.680","","1.54%"
"02/01/2019","51.870","52.117","52.560","51.655","","-0.44%"
"01/01/2019","52.100","52.480","53.040","51.960","","-0.71%"
"12/01/2018","52.470","52.410","53.270","52.260","","0.21%"
"11/01/2018","52.358","53.360","53.384","52.115","","-1.89%"
"10/01/2018","53.367","54.080","54.452","53.276","","-1.11%"
"09/01/2018","53.965","53.487","54.430","53.442","","0.93%"
"08/01/2018","53.470","53.100","53.695","52.771","","0.91%"
"07/01/2018","52.990","53.367","53.729","52.985","","-0.60%"
"06/01/2018","53.311","52.571","53.759","52.292","","1.47%"
"05/01/2018","52.541","51.665","52.798","51.542","","1.73%"
"04/01/2018","51.649","52.167","52.493","51.595","","-0.91%"
"03/01/2018","52.124","52.099","52.581","51.751","","0.09%"
"02/01/2018","52.079","51.325","52.523","51.050","","1.44%"
"01/01/2018","51.340","49.944","51.551","49.695","","2.73%"
"12/01/2017","49.977","50.259","50.815","49.786","","-0.66%"
"11/01/2017","50.310","51.605","51.704","50.136","","-2.48%"
"10/01/2017","51.587","50.805","52.005","50.805","","1.38%"
"09/01/2017","50.885","51.169","51.423","50.523","","-0.52%"
"08/01/2017","51.149","50.459","51.623","50.145","","1.39%"
"07/01/2017","50.449","50.396","50.998","50.347","","0.00%"
"06/01/2017","50.449","49.776","50.694","49.322","","1.37%"
"05/01/2017","49.765","50.115","50.267","49.568","","-0.88%"
