Date,Price
2024-07-16,0.25357
2024-06-30,0.24896
2024-05-30,0.25316
2024-04-30,0.24633
2024-03-31,0.25109
2024-02-29,0.2506
2024-01-31,0.24973
2023-12-31,0.25474
2023-11-30,0.25036
2023-10-31,0.23762
2023-09-28,0.22776
2023-08-31,0.24255
2023-07-31,0.24992
2023-06-29,0.24464
2023-05-31,0.23628
2023-04-30,0.23992
2023-03-30,0.23333
2023-02-28,0.22482
2023-01-31,0.23071
2022-12-29,0.22807
2022-11-30,0.22338
2022-10-31,0.20977
2022-09-29,0.2026
2022-08-31,0.21269
2022-07-31,0.21578
2022-06-30,0.22306
2022-05-31,0.2345
2022-04-28,0.22409
2022-03-31,0.2388
2022-02-28,0.23905
2022-01-31,0.24519
2021-12-30,0.24664
2021-11-30,0.2435
2021-10-31,0.25082
2021-09-30,0.25139
2021-08-31,0.26121
2021-07-29,0.26038
2021-06-30,0.26225
2021-05-31,0.27318
2021-04-29,0.26557
2021-03-31,0.25345
2021-02-28,0.26756
2021-01-31,0.26832
2020-12-31,0.26856
2020-11-30,0.26657
2020-10-29,0.25266
2020-09-30,0.25895
2020-08-31,0.27163
2020-07-30,0.26954
2020-06-30,0.2529
2020-05-31,0.25079
2020-04-30,0.24091
2020-03-31,0.2418
2020-02-27,0.25445
2020-01-30,0.25688
2019-12-31,0.26278
2019-11-28,0.2549
2019-10-31,0.26176
2019-09-30,0.24938
2019-08-29,0.25212
2019-07-31,0.2583
2019-06-30,0.2678
2019-05-30,0.25957
2019-04-30,0.26175
2019-03-31,0.26095
2019-02-28,0.26433
2019-01-31,0.26857
2018-12-31,0.26736
2018-11-29,0.26581
2018-10-31,0.26068
2018-09-30,0.27112
2018-08-30,0.27134
2018-07-31,0.27349
2018-06-28,0.26514
2018-05-31,0.27104
2018-04-30,0.28506
2018-03-29,0.2925
2018-02-28,0.29194
2018-01-31,0.2992
2017-12-31,0.28707
2017-11-30,0.28315
2017-10-31,0.27488
2017-09-28,0.27303
2017-08-31,0.28059
2017-07-31,0.27803
2017-06-29,0.26978
2017-05-31,0.26896
2017-04-30,0.25824
2017-03-30,0.25384
2017-02-28,0.24548
2017-01-31,0.24989
2016-12-29,0.23994
2016-11-30,0.23789
2016-10-31,0.25492
2016-09-29,0.26078
2016-08-31,0.25566
2016-07-31,0.25638
2016-06-30,0.25376
2016-05-31,0.25377
2016-04-28,0.25844
2016-03-31,0.26846
2016-02-29,0.25035
2016-01-31,0.24523
2015-12-31,0.25317
2015-11-30,0.24771
2015-10-29,0.2571
2015-09-30,0.26316
2015-08-31,0.26583
2015-07-30,0.26433
2015-06-30,0.26573
2015-05-31,0.26689
2015-04-30,0.2781
2015-03-31,0.2638
2015-02-26,0.27007
2015-01-29,0.26937
2014-12-31,0.28255
2014-11-30,0.29761
2014-10-30,0.29951
2014-09-30,0.30223
2014-08-31,0.31214
