"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","10.5837","10.5757","10.6692","10.4185","","0.07%"
"06/01/2024","10.5762","10.5262","10.6627","10.2824","","0.59%"
"05/01/2024","10.5143","11.0189","11.0496","10.4949","","-4.57%"
"04/01/2024","11.0176","10.6615","11.0319","10.4970","","3.44%"
"03/01/2024","10.6508","10.3748","10.7425","10.1432","","2.74%"
"02/01/2024","10.3668","10.3903","10.6330","10.2484","","-0.20%"
"01/01/2024","10.3877","10.0668","10.5200","10.0485","","3.19%"
"12/01/2023","10.0670","10.4956","10.5235","9.9061","","-4.12%"
"11/01/2023","10.4994","11.1756","11.2494","10.2732","","-5.99%"
"10/01/2023","11.1683","10.9201","11.2274","10.8476","","2.28%"
"09/01/2023","10.9197","10.9551","11.2780","10.8175","","-0.26%"
"08/01/2023","10.9484","10.5240","11.1002","10.5077","","4.09%"
"07/01/2023","10.5178","10.7965","10.9922","10.1657","","-2.41%"
"06/01/2023","10.7780","10.8566","10.9469","10.5596","","-0.66%"
"05/01/2023","10.8493","10.2639","10.9586","10.1325","","5.84%"
"04/01/2023","10.2505","10.4001","10.5638","10.2250","","-1.21%"
"03/01/2023","10.3761","10.4700","10.7801","10.2120","","-0.83%"
"02/01/2023","10.4629","10.4643","10.6739","10.2461","","0.05%"
"01/01/2023","10.4580","10.4232","10.7500","10.1748","","0.48%"
"12/01/2022","10.4078","10.4999","10.5526","10.1450","","-0.79%"
"11/01/2022","10.4905","11.0340","11.2422","10.3034","","-4.83%"
"10/01/2022","11.0227","11.1121","11.4804","10.8188","","-0.39%"
"09/01/2022","11.0660","10.6569","11.4973","10.4129","","3.88%"
"08/01/2022","10.6528","10.1776","10.7645","9.9993","","5.07%"
"07/01/2022","10.1386","10.2235","10.6894","10.1277","","-0.79%"
"06/01/2022","10.2189","9.7625","10.3464","9.6745","","4.83%"
"05/01/2022","9.7477","9.8018","10.1944","9.7185","","-0.73%"
"04/01/2022","9.8196","9.3965","9.9091","9.3375","","4.56%"
"03/01/2022","9.3915","9.4931","10.0706","9.2287","","-0.98%"
"02/01/2022","9.4849","9.3194","9.6447","9.0603","","1.79%"
"01/01/2022","9.3182","9.0541","9.4810","8.8975","","3.09%"
"12/01/2021","9.0392","9.0225","9.1812","8.9937","","0.21%"
"11/01/2021","9.0200","8.5960","9.1869","8.5053","","5.02%"
"10/01/2021","8.5887","8.7599","8.8282","8.5054","","-1.94%"
"09/01/2021","8.7585","8.6250","8.8174","8.5266","","1.56%"
"08/01/2021","8.6237","8.5984","8.8549","8.5618","","0.45%"
"07/01/2021","8.5847","8.5568","8.7349","8.5191","","0.38%"
"06/01/2021","8.5522","8.2975","8.6441","8.2347","","3.09%"
"05/01/2021","8.2960","8.4662","8.5284","8.2452","","-2.02%"
"04/01/2021","8.4672","8.7322","8.7633","8.3162","","-2.99%"
"03/01/2021","8.7282","8.4393","8.7654","8.3541","","3.49%"
"02/01/2021","8.4341","8.3380","8.4863","8.2053","","0.90%"
"01/01/2021","8.3589","8.2130","8.4409","8.1245","","1.75%"
"12/01/2020","8.2148","8.5701","8.5940","8.1484","","-4.17%"
"11/01/2020","8.5725","8.9089","8.9586","8.4436","","-3.49%"
"10/01/2020","8.8823","8.9570","8.9992","8.6884","","-0.81%"
"09/01/2020","8.9544","8.6466","9.1676","8.5942","","3.58%"
"08/01/2020","8.6449","8.7707","8.8195","8.6053","","-1.40%"
"07/01/2020","8.7680","9.3241","9.3811","8.6416","","-5.91%"
"06/01/2020","9.3188","9.4341","9.4983","9.0966","","-0.95%"
"05/01/2020","9.4085","9.7595","9.9512","9.3986","","-3.56%"
"04/01/2020","9.7562","9.9096","10.2295","9.7432","","-1.23%"
"03/01/2020","9.8780","9.6307","10.4808","9.3066","","2.94%"
"02/01/2020","9.5959","9.6260","9.8373","9.5502","","-0.31%"
"01/01/2020","9.6261","9.3679","9.6852","9.3195","","2.82%"
"12/01/2019","9.3620","9.5779","9.5897","9.2930","","-2.19%"
"11/01/2019","9.5717","9.6519","9.7661","9.5384","","-0.81%"
"10/01/2019","9.6499","9.8423","9.9662","9.5562","","-1.94%"
"09/01/2019","9.8408","9.8367","9.8946","9.5832","","0.24%"
"08/01/2019","9.8177","9.6587","9.8413","9.4974","","1.72%"
"07/01/2019","9.6519","9.2839","9.6791","9.2768","","3.99%"
"06/01/2019","9.2815","9.4936","9.5554","9.2407","","-2.23%"
"05/01/2019","9.4931","9.4904","9.6896","9.4683","","0.03%"
"04/01/2019","9.4900","9.2927","9.5790","9.2153","","2.10%"
"03/01/2019","9.2945","9.2351","9.5005","9.1010","","0.65%"
"02/01/2019","9.2348","9.0472","9.4185","9.0246","","2.08%"
"01/01/2019","9.0465","8.8551","9.1039","8.8506","","2.19%"
"12/01/2018","8.8524","9.1049","9.1637","8.8517","","-2.77%"
"11/01/2018","9.1050","9.1655","9.1724","8.9590","","-0.66%"
"10/01/2018","9.1656","8.8899","9.2031","8.8811","","3.13%"
"09/01/2018","8.8872","9.1482","9.1604","8.7519","","-2.84%"
"08/01/2018","9.1474","8.7933","9.2489","8.7840","","4.08%"
"07/01/2018","8.7891","8.9473","9.0304","8.6799","","-1.76%"
"06/01/2018","8.9465","8.8136","9.0391","8.5781","","1.52%"
"05/01/2018","8.8123","8.7468","8.9887","8.5676","","0.74%"
"04/01/2018","8.7477","8.3428","8.7705","8.2906","","4.88%"
"03/01/2018","8.3408","8.2912","8.3864","8.1514","","0.62%"
"02/01/2018","8.2893","7.8778","8.3142","7.8342","","5.23%"
"01/01/2018","7.8773","8.2032","8.2538","7.8266","","-3.96%"
