Date,Price
2024-07-16,0.7431
2024-06-30,0.73817
2024-05-30,0.74091
2024-04-30,0.73249
2024-03-31,0.74201
2024-02-29,0.74299
2024-01-31,0.74604
2023-12-31,0.75813
2023-11-30,0.74798
2023-10-31,0.73046
2023-09-28,0.73204
2023-08-31,0.74058
2023-07-31,0.75203
2023-06-29,0.73737
2023-05-31,0.74003
2023-04-30,0.74929
2023-03-30,0.75305
2023-02-28,0.74166
2023-01-31,0.76109
2022-12-29,0.74431
2022-11-30,0.73567
2022-10-31,0.70667
2022-09-29,0.69869
2022-08-31,0.71498
2022-07-31,0.72385
2022-06-30,0.71935
2022-05-31,0.73001
2022-04-28,0.72124
2022-03-31,0.73839
2022-02-28,0.73784
2022-01-31,0.73989
2021-12-30,0.73969
2021-11-30,0.73236
2021-10-31,0.74106
2021-09-30,0.73625
2021-08-31,0.74416
2021-07-29,0.73911
2021-06-30,0.74366
2021-05-31,0.75721
2021-04-29,0.75449
2021-03-31,0.74348
2021-02-28,0.75238
2021-01-31,0.75192
2020-12-31,0.75666
2020-11-30,0.74645
2020-10-29,0.73202
2020-09-30,0.73276
2020-08-31,0.73506
2020-07-30,0.72927
2020-06-30,0.71754
2020-05-31,0.70836
2020-04-30,0.70877
2020-03-31,0.70338
2020-02-27,0.71698
2020-01-30,0.73403
2019-12-31,0.74934
2019-11-28,0.7323
2019-10-31,0.73496
2019-09-30,0.72349
2019-08-29,0.72063
2019-07-31,0.72756
2019-06-30,0.73975
2019-05-30,0.72463
2019-04-30,0.73546
2019-03-31,0.73843
2019-02-28,0.74003
2019-01-31,0.74322
2018-12-31,0.73411
2018-11-29,0.73025
2018-10-31,0.72213
2018-09-30,0.73136
2018-08-30,0.73153
2018-07-31,0.73454
2018-06-28,0.73083
2018-05-31,0.74711
2018-04-30,0.75428
2018-03-29,0.76284
2018-02-28,0.75483
2018-01-31,0.76254
2017-12-31,0.74794
2017-11-30,0.74154
2017-10-31,0.73432
2017-09-28,0.73621
2017-08-31,0.73757
2017-07-31,0.73774
2017-06-29,0.72548
2017-05-31,0.72275
2017-04-30,0.7159
2017-03-30,0.71571
2017-02-28,0.71124
2017-01-31,0.70945
2016-12-29,0.69147
2016-11-30,0.69723
2016-10-31,0.7188
2016-09-29,0.73281
2016-08-31,0.73432
2016-07-31,0.74504
2016-06-30,0.74231
2016-05-31,0.72599
2016-04-28,0.74386
2016-03-31,0.74169
2016-02-29,0.71201
2016-01-31,0.70205
2015-12-31,0.70458
2015-11-30,0.70915
2015-10-29,0.71288
2015-09-30,0.70248
2015-08-31,0.70929
2015-07-30,0.72753
2015-06-30,0.74217
2015-05-31,0.74132
2015-04-30,0.75544
2015-03-31,0.72819
2015-02-26,0.73713
2015-01-29,0.73926
2014-12-31,0.75534
2014-11-30,0.76521
2014-10-30,0.78287
2014-09-30,0.78374
2014-08-31,0.80056
