Date,Price
2024-07-16,0.02771
2024-06-30,0.02727
2024-05-30,0.02726
2024-04-30,0.0269
2024-03-31,0.02747
2024-02-29,0.02791
2024-01-31,0.02813
2023-12-31,0.02905
2023-11-30,0.02836
2023-10-31,0.0277
2023-09-28,0.02735
2023-08-31,0.02857
2023-07-31,0.02921
2023-06-29,0.02807
2023-05-31,0.02888
2023-04-30,0.0293
2023-03-30,0.02931
2023-02-28,0.0284
2023-01-31,0.03043
2022-12-29,0.02892
2022-11-30,0.02851
2022-10-31,0.02627
2022-09-29,0.02641
2022-08-31,0.02731
2022-07-31,0.02755
2022-06-30,0.02831
2022-05-31,0.02921
2022-04-28,0.02904
2022-03-31,0.03009
2022-02-28,0.03063
2022-01-31,0.03013
2021-12-30,0.03001
2021-11-30,0.0297
2021-10-31,0.03017
2021-09-30,0.02969
2021-08-31,0.03109
2021-07-29,0.03045
2021-06-30,0.03127
2021-05-31,0.03208
2021-04-29,0.03208
2021-03-31,0.03202
2021-02-28,0.03295
2021-01-31,0.03343
2020-12-31,0.03344
2020-11-30,0.03305
2020-10-29,0.03203
2020-09-30,0.03164
2020-08-31,0.03222
2020-07-30,0.03194
2020-06-30,0.03237
2020-05-31,0.03176
2020-04-30,0.03084
2020-03-31,0.03062
2020-02-27,0.0316
2020-01-30,0.03213
2019-12-31,0.03369
2019-11-28,0.03309
2019-10-31,0.03316
2019-09-30,0.03267
2019-08-29,0.03265
2019-07-31,0.0326
2019-06-30,0.03267
2019-05-30,0.03146
2019-04-30,0.03135
2019-03-31,0.03153
2019-02-28,0.03171
2019-01-31,0.03202
2018-12-31,0.03104
2018-11-29,0.03039
2018-10-31,0.03022
2018-09-30,0.03095
2018-08-30,0.03052
2018-07-31,0.03012
2018-06-28,0.03017
2018-05-31,0.03118
2018-04-30,0.03171
2018-03-29,0.03203
2018-02-28,0.03177
2018-01-31,0.03193
2017-12-31,0.03139
2017-11-30,0.03063
2017-10-31,0.03014
2017-09-28,0.02996
2017-08-31,0.03013
2017-07-31,0.03005
2017-06-29,0.02944
2017-05-31,0.02938
2017-04-30,0.02899
2017-03-30,0.029
2017-02-28,0.02863
2017-01-31,0.02849
2016-12-29,0.02787
2016-11-30,0.02802
2016-10-31,0.02856
2016-09-29,0.02887
2016-08-31,0.02889
2016-07-31,0.02875
2016-06-30,0.02847
2016-05-31,0.02801
2016-04-28,0.02861
2016-03-31,0.0285
2016-02-29,0.02808
2016-01-31,0.02837
2015-12-31,0.02823
2015-11-30,0.02795
2015-10-29,0.02809
2015-09-30,0.02753
2015-08-31,0.02792
2015-07-30,0.0285
2015-06-30,0.02958
2015-05-31,0.02962
2015-04-30,0.03029
2015-03-31,0.03074
2015-02-26,0.03091
2015-01-29,0.03055
2014-12-31,0.03043
2014-11-30,0.03097
2014-10-30,0.03077
2014-09-30,0.03086
2014-08-31,0.03177
