Date,Price
2024-07-16,0.0297
2024-06-28,0.03013
2024-05-31,0.03051
2024-04-30,0.03041
2024-03-29,0.03039
2024-02-29,0.03152
2024-01-31,0.03247
2023-12-29,0.03352
2023-11-30,0.03415
2023-10-31,0.03482
2023-09-29,0.03597
2023-08-31,0.037
2023-07-31,0.03663
2023-06-30,0.03787
2023-05-31,0.04767
2023-04-28,0.05091
2023-03-31,0.05169
2023-02-28,0.05246
2023-01-31,0.05266
2022-12-30,0.05295
2022-11-30,0.05319
2022-10-31,0.05323
2022-09-30,0.05347
2022-08-31,0.05445
2022-07-29,0.05533
2022-06-30,0.05941
2022-05-31,0.06053
2022-04-29,0.06682
2022-03-31,0.06765
2022-02-28,0.07201
2022-01-31,0.07459
2021-12-31,0.0749
2021-11-30,0.0737
2021-10-29,0.10359
2021-09-30,0.11214
2021-08-31,0.11995
2021-07-30,0.11807
2021-06-30,0.11435
2021-05-31,0.11735
2021-04-30,0.12006
2021-03-31,0.12069
2021-02-26,0.13444
2021-01-29,0.13628
2020-12-31,0.13394
2020-11-30,0.12728
2020-10-30,0.11931
2020-09-30,0.12935
2020-08-31,0.13555
2020-07-31,0.14296
2020-06-30,0.14544
2020-05-29,0.14629
2020-04-30,0.14254
2020-03-31,0.15065
2020-02-28,0.15977
2020-01-31,0.16667
2019-12-31,0.16767
2019-11-29,0.17347
2019-10-31,0.17466
2019-09-30,0.17647
2019-08-30,0.17098
2019-07-31,0.17868
2019-06-28,0.17223
2019-05-31,0.17093
2019-04-30,0.16711
2019-03-29,0.17878
2019-02-28,0.18668
2019-01-31,0.19277
2018-12-31,0.18843
2018-11-30,0.19142
2018-10-31,0.17848
2018-09-28,0.16423
2018-08-31,0.15287
2018-07-31,0.20272
2018-06-29,0.21745
2018-05-31,0.2203
2018-04-30,0.24571
2018-03-30,0.25227
2018-02-28,0.26241
2018-01-31,0.26566
2017-12-29,0.26328
2017-11-30,0.25478
2017-10-31,0.26332
2017-09-29,0.27998
2017-08-31,0.2892
2017-07-31,0.28339
2017-06-30,0.28354
2017-05-31,0.28286
2017-04-28,0.28103
2017-03-31,0.27458
2017-02-28,0.27378
2017-01-31,0.26424
2016-12-30,0.283
2016-11-30,0.29054
2016-10-31,0.3224
2016-09-30,0.33272
2016-08-31,0.33767
2016-07-29,0.3338
2016-06-30,0.34678
2016-05-31,0.33878
2016-04-29,0.35706
2016-03-31,0.3543
2016-02-29,0.33669
2016-01-29,0.33751
2015-12-31,0.3423
2015-11-30,0.34279
2015-10-30,0.34227
2015-09-30,0.32999
2015-08-31,0.34231
2015-07-31,0.36043
2015-06-30,0.37217
2015-05-29,0.37501
2015-04-30,0.3733
2015-03-31,0.38434
2015-02-27,0.39818
2015-01-30,0.40899
2014-12-31,0.42802
