movie_id,title,url_wiki,lang.,revenue,revenue_wiki,revenue_mojo,ratio,revenue_delta,revenue_delta_2,revenue_synthetic,budget,budget_wiki,budget_delta,budget_synthetic,synthetic_ratio,revenue_fix,budget_fix,Status,reason
312408,Gone with the Bullets,https://en.wikipedia.org/wiki/Gone_with_the_Bullets,zh,0,83330000,81387479,0,0,1,81387479,0,299294694,-1,299294694,0,,,,
11820,Mona Lisa Smile,https://en.wikipedia.org/wiki/Mona_Lisa_Smile,en,0,141300000,141337989,0,0,1,141337989,65000000,72300000,0,65000000,2,,,,
15556,At First Sight,https://en.wikipedia.org/wiki/At_First_Sight_(1999_film),en,0,22400000,22365133,0,0,1,22365133,0,60000000,-1,60000000,0,,,,
10699,Hero,https://en.wikipedia.org/wiki/Hero_(1992_film),en,0,67000000,19507345,0,1,1,19507345,42000000,42000000,0,42000000,0,,,Keep,
459992,Long Shot,https://en.wikipedia.org/wiki/Long_Shot_(2019_film),en,0,53900000,53873809,0,0,1,53873809,40000000,40000000,0,40000000,1,,,Keep,
14392,The Warlords,https://en.wikipedia.org/wiki/The_Warlords,zh,0,42900000,42883181,0,0,1,42883181,40000000,40000000,0,40000000,1,,,Keep,
10391,Bless the Child,https://en.wikipedia.org/wiki/Bless_the_Child,en,0,40000000,40443010,0,0,1,40443010,40000000,65000000,1,40000000,1,,,,
14655,Soul Men,https://en.wikipedia.org/wiki/Soul_Men,en,0,12300000,12331637,0,0,1,12331637,0,40000000,-1,40000000,0,,,,
459674,DiDi's Dreams,https://en.wikipedia.org/wiki/Didi%27s_Dream,zh,2748,44600000,0,0,1,1,2748,0,250000000,-1,250000000,0,4000000,8000000,Change,
472674,The Goldfinch,https://en.wikipedia.org/wiki/The_Goldfinch_(film),en,0,10000000,10032621,0,0,1,10032621,40000000,24500022,0,40000000,0,,,,
31586,North,https://en.wikipedia.org/wiki/North_(1994_film),en,0,12000000,7182747,0,0,1,7182747,40000000,45000000,0,40000000,0,,,,
19176,The Cowboy Way,https://en.wikipedia.org/wiki/The_Cowboy_Way_(film),en,0,25000000,20280016,0,0,1,20280016,0,35000000,-1,35000000,1,,,,
9839,Beyond Borders,https://en.wikipedia.org/wiki/Beyond_Borders_(film),en,0,11700000,11705002,0,0,1,11705002,35000000,35000000,0,35000000,0,,,Keep,
49478,Warriors of Virtue,https://en.wikipedia.org/wiki/Warriors_of_Virtue,en,0,6524620,6537036,0,0,1,6537036,0,35000000,-1,35000000,0,,,,
277368,Nicholas on Holiday,https://en.wikipedia.org/wiki/Nicholas_on_Holiday,fr,0,27600000,27567832,0,0,1,27567832,0,32806641,-1,32806641,1,,,,
