,international,worldwide,domestic,error
tt0421045,0.0,0.0,0.0,
tt1091207,0.0,0.0,0.0,
tt0473024,0.0,7009668.0,7009668.0,
tt1879066,0.0,0.0,0.0,
tt0119053,0.0,6136856.0,6136856.0,
tt0086973,0.0,18644570.0,18644570.0,
tt0342300,0.0,69544.0,69544.0,
tt0346952,0.0,0.0,0.0,
tt0913958,10456.0,119263.0,108807.0,
tt1110272,293276.0,293276.0,0.0,
tt0193167,0.0,0.0,0.0,
tt1422101,4900.0,4900.0,0.0,
tt5723286,0.0,0.0,0.0,
tt0161977,0.0,40861.0,40861.0,
tt0095900,0.0,0.0,0.0,
tt3148348,0.0,0.0,0.0,
tt0452636,0.0,0.0,0.0,
tt3512282,5029712.0,5029712.0,0.0,
tt0379184,0.0,9528.0,9528.0,
tt0065622,0.0,839.0,0.0,
tt0888693,38603.0,208995.0,170392.0,
tt0407263,0.0,614138.0,614138.0,
tt1114712,878157.0,878157.0,0.0,
tt2909724,6081729.0,6081729.0,0.0,
tt4550098,19648500.0,30311857.0,10663357.0,
tt0248169,0.0,505675.0,505675.0,
tt8655470,19387647.0,19387647.0,0.0,
tt2556874,973987.0,973987.0,0.0,
tt0076873,0.0,0.0,0.0,
tt5662906,10315084.0,10315084.0,0.0,
tt0103924,0.0,22518097.0,22518097.0,
tt0095265,0.0,0.0,0.0,
tt0911010,0.0,0.0,0.0,
tt0991192,787778.0,787778.0,0.0,
tt6100286,176372.0,176372.0,0.0,
tt0294280,0.0,0.0,0.0,
tt0073601,0.0,0.0,0.0,
tt0089726,0.0,0.0,0.0,
tt0228780,0.0,0.0,0.0,
tt0413509,0.0,0.0,0.0,
tt0119406,0.0,0.0,0.0,
tt7266388,0.0,0.0,0.0,
tt0092513,0.0,34368475.0,34368475.0,
tt5121548,58892.0,58892.0,0.0,
tt3899516,0.0,0.0,0.0,
tt0197732,0.0,0.0,0.0,
tt0884853,452981.0,452981.0,0.0,
tt0918927,18253514.0,51699984.0,33446470.0,
tt0963194,41376.0,188126.0,146750.0,
tt0278035,0.0,0.0,0.0,
tt0102614,0.0,39673161.0,39673161.0,
tt0101741,0.0,0.0,0.0,
tt1454612,0.0,0.0,0.0,
tt0820117,381369.0,381369.0,0.0,
tt0250468,7775138.0,7775138.0,0.0,
tt0083552,0.0,0.0,0.0,
tt0245837,0.0,0.0,0.0,
tt4714782,1535213.0,2840408.0,1305195.0,
tt2192016,1794581.0,1862114.0,67533.0,
tt3658772,2049761.0,2049761.0,0.0,
tt0110169,0.0,60822.0,60822.0,
tt1530480,288197.0,288197.0,0.0,
tt2334871,14993533.0,60845711.0,45852178.0,
tt1027762,0.0,0.0,0.0,
tt0328990,0.0,0.0,0.0,
tt0071212,0.0,0.0,0.0,
tt0101834,0.0,0.0,0.0,
tt0892087,0.0,0.0,0.0,
tt3252998,0.0,0.0,0.0,
tt1091202,0.0,0.0,0.0,
tt7137380,4047616.0,5580940.0,1533324.0,
tt1223975,666729.0,687406.0,20677.0,
tt0856778,102715.0,102715.0,0.0,
tt2762122,1958508.0,1958508.0,0.0,
tt2360586,0.0,0.0,0.0,
tt0080421,0.0,0.0,0.0,
tt0119772,0.0,0.0,0.0,
tt0109022,0.0,0.0,0.0,
tt3741700,276800000.0,387300138.0,110500138.0,
tt0082733,0.0,0.0,0.0,
tt2289526,2271388.0,2290889.0,19501.0,
tt0081698,0.0,11715321.0,11715321.0,
tt1216501,279598.0,279598.0,0.0,
tt2215077,251864.0,306393.0,54529.0,
tt0426192,0.0,0.0,0.0,
tt0082799,0.0,63405.0,63405.0,
tt1196956,10799238.0,10900434.0,101196.0,
tt2392326,6427115.0,8652213.0,2225098.0,
tt2639336,8120888.0,18653107.0,10532219.0,
tt0364977,290033.0,290033.0,0.0,
tt0098320,0.0,16554699.0,16554699.0,
tt0072230,0.0,0.0,0.0,
tt1612319,0.0,0.0,0.0,
tt0075764,0.0,0.0,0.0,
tt1226830,0.0,0.0,0.0,
tt0470705,1070121.0,8095931.0,7025810.0,
tt0443533,492272.0,492272.0,0.0,
tt0355977,588075.0,588075.0,0.0,
tt0113613,0.0,459749.0,459749.0,
tt1748179,14054689.0,14107313.0,52624.0,
tt1957886,0.0,0.0,0.0,
tt0296842,727610.0,727610.0,0.0,
tt0120866,252390.0,2259680.0,2007290.0,
tt0996908,0.0,0.0,0.0,
tt0075406,0.0,0.0,0.0,
tt3454612,0.0,0.0,0.0,
tt0117342,0.0,0.0,0.0,
tt0297750,0.0,0.0,0.0,
tt0069198,0.0,0.0,0.0,
tt0165409,0.0,0.0,0.0,
tt2759372,0.0,190229.0,190229.0,
tt0096523,0.0,0.0,0.0,
tt6722726,16209.0,16209.0,0.0,
tt0286502,0.0,0.0,0.0,
tt0083659,0.0,0.0,0.0,
tt0111082,0.0,0.0,0.0,
tt0362427,0.0,0.0,0.0,
tt0293166,0.0,0.0,0.0,
tt0358376,0.0,0.0,0.0,
tt0081184,0.0,6342668.0,6342668.0,
tt0120646,14222451.0,28121100.0,13898649.0,
tt0079342,0.0,0.0,0.0,
tt0070239,115531.0,115531.0,0.0,
tt0229715,0.0,0.0,0.0,
tt0120782,0.0,5878911.0,5878911.0,
tt4138322,0.0,0.0,0.0,
tt1419318,15524.0,15524.0,0.0,
tt4437216,0.0,23020.0,23020.0,
tt0109312,0.0,0.0,0.0,
tt0066767,0.0,0.0,0.0,
tt0266066,0.0,0.0,0.0,
tt5433114,2798565.0,2798565.0,0.0,
tt0106966,6764.0,2087569.0,2080805.0,
