movie_id,company_id,company_name
512,288,BBC Films
512,290,Ingenious Media
512,291,Perdido Prod.
512,7316,Phoenix Wiley
512,136057,Jelly Roll Production
768,476,Underworld Entertainment
1024,14,Miramax
1024,11,WingNut Films
1024,294,New Zealand Film Commission
1024,2306,Fontana Productions
1280,684,Kim Ki Duk Film
1280,685,Cineclick Asia
1280,140,Pandora Film
132352,13545,"Symon Productions, Inc."
132352,13546,Eagle Island Films
1792,1156,Conundrum Entertainment
2048,1302,Davis Entertainment
2048,415,Laurence Mark Productions
2048,19355,Canlaws Productions
2048,907,Overbrook Entertainment
2048,19354,Mediastream Vierte Film GmbH & Co. Vermarktungs KG
3072,1312,The Mount Company
399360,77863,Studio 8
399360,34,Sony Pictures
335360,1632,Lionsgate
335360,7225,DHX Media
335360,22826,Hasbro Studios
335360,57031,Allspark Pictures
8960,41756,GH Three
8960,7295,Relativity Media
8960,28064,Blue Light
8960,433,Weed Road Pictures
8960,675,Forward Pass
8960,907,Overbrook Entertainment
8960,34,Sony Pictures
9472,19354,Mediastream Vierte Film GmbH & Co. Vermarktungs KG
9472,2932,Red Hour
402688,29566,Atresmedia
402688,85761,Persefone Films
402688,7543,Arcadia Motion Pictures
468224,43,Fox Searchlight Pictures
468224,22213,TSG Entertainment
468224,7076,Chernin Entertainment
9728,7513,Jason Productions
9728,16779,Georgetown Productions Inc.
10496,769,Destination Films
76544,14714,China Film Group Corporation
76544,79,Village Roadshow Pictures
76544,22340,Dalian Wanda Group
76544,7193,Company Films
13056,1632,Lionsgate
13056,8848,MHF Zweite Academy Film
13056,11106,Marvel Knights
13056,11533,Valhalla Motion Pictures
13056,33808,SGF Entertainment
13056,6438,Muse Entertainment
13312,2673,La Fabrique de Films
13312,16468,BR Films
13312,6301,CinéCinéma
13824,2822,SNL Studios
407296,132452,Bulldog Film Distribution (TKOTB) Limited
15616,49336,Papa Joe Films
15616,6363,BenderSpink
15616,813,Di Novi Pictures
15616,10405,EFO Films
15616,13807,Family Room Entertainment
