company_id,company_name,parent_id
84988,42,84988
39339,4L,39339
20665,4M,20665
19478,BK,19478
126735,CE,126735
32999,D8,32999
107563,EO,107563
9291,HR,9291
22723,K2,22723
11261,M6,11261
34774,W9,34774
11678,4½,11678
104356,A&G,104356
41077,A24,41077
14779,ACE,14779
101957,AQS,101957
1251,ARD,1251
7341,AXN,7341
22790,B22,22790
23288,B23,23288
69434,B24,69434
3324,BBC,3324
11097,BBE,11097
96905,BNN,96905
58750,BSB,58750
103715,BWP,103715
12384,CBC,12384
12113,CBC,12113
13367,CDI,13367
310,CNC,310
69462,CNC,69462
2842,CTR,2842
101526,DCS,101526
22971,DDG,22971
8152,DFI,8152
100111,DHF,100111
24137,DOS,24137
495,EDI,495
7255,EPT,7255
13956,F/M,13956
2026,FFA,2026
25297,FLX,25297
149,FOZ,149
14325,G&G,14325
104372,GGG,104372
67780,GGR,67780
3268,HBO,3268
29725,HOT,29725
95145,Hob,95145
16701,ICA,16701
52107,ICF,52107
29259,ICO,29259
1155,ITC,1155
182,JVC,182
77154,KNM,77154
19479,KOH,19479
3560,KSS,3560
6197,LWT,6197
56080,M39,56080
36029,MCG,36029
17719,MJZ,17719
2531,MRC,2531
8136,MTV,8136
75986,NC+,75986
7201,NDR,7201
69463,NEP,69463
15505,NHK,15505
82720,NPS,82720
90359,NT1,90359
22294,NTR,22294
20247,OAL,20247
129506,OCN,129506
11620,OCS,11620
11389,OFI,11389
5372,OLM,5372
40789,ONO,40789
3391,ORF,3391
16838,Oak,16838
7508,PEA,7508
117604,PFX,117604
1583,RAI,1583
2067,RBB,1251
60546,RCS,60546
69260,RIM,69260
20960,RSI,20960
42272,RTL,42272
8492,RTP,8492
13668,RTS,13668
33629,RWE,33629
132019,Rio,132019
11552,SAJ,11552
6849,SFP,6849
19016,SLC,19016
2902,SND,2902
42145,SRF,42145
2999,SVT,2999
13467,TBB,13467
1393,TBS,1393
22123,TF1,22123
5076,TMC,5076
82340,TNT,82340
2837,TV1,2837
5085,TV3,5085
2802,TV4,2802
28104,TVB,28104
981,TVE,981
10050,TVG,10050
5622,TVN,5622
6480,TVP,6480
12372,UFA,12372
581,UGC,581
11725,VAP,11725
12051,VMP,12051
11797,VOO,11797
46,WDR,46
49055,WSB,49055
5975,YLE,5975
63240,YOY,63240
65489,Z+F,65489
4606,ZDF,4606
16888,ZED,16888
119446,kth,119446
21468,1818,21468
59778,A113,59778
106544,AGBO,106544
1869,AMLF,1869
20428,APTN,20428
587,ARTE,587
201,ARTE,201
3273,ASAF,3273
15163,AVRO,15163
53339,Amer,53339
30095,Arva,30095
24430,BeTV,24430
79811,Bufo,79811
87847,Coco,87847
2853,Czar,2853
3576,EFTI,3576
11037,EFVE,11037
7462,EPTV,7462
31123,EiTB,31123
32930,FAMU,32930
3656,GAGA,3656
135823,HHHH,135823
19543,HeLo,19543
9974,ICAA,9974
2585,ICE3,2585
35559,ICEC,35559
10073,ICIC,10073
23234,ISIS,23234
89523,KPVI,89523
4081,LEGO,4081
16214,Made,16214
42344,Mico,42344
15413,NCRV,15413
17700,NFTS,17700
90733,Neon,90733
5827,Nova,5827
117464,OBIC,117464
69485,Odin,69485
11240,PISF,11240
792,RTBF,792
24023,RTVS,24023
1923,RTÉ,1923
18014,Ruut,18014
22999,SMTS,22999
141929,Sony,141929
141930,Sony,141930
6677,Syfy,6677
21327,TNVO,21327
52437,TROS,52437
3389,TV 2,3389
758,TV 2,758
22857,Tenk,22857
13070,Tomy,13070
37343,UKFS,37343
29459,VARA,29459
83349,VOSC,83349
8659,VPRO,8659
77507,YCTM,77507
10880,Yuma,10880
44640,erbp,44640
4096,icon,4096
8157,jeki,8157
17653,22h22,17653
104678,23ten,104678
7843,4 1/2,7843
6932,ACPAV,6932
50998,AD406,50998
53610,AR-TL,53610
10188,Aleph,10188
14602,Amuse,14602
108766,Avary,108766
106250,BFILM,106250
11548,BNDES,11548
79281,Bemar,79281
92710,Bitis,92710
17615,Bliss,17615
32554,Bloom,32554
21905,C & L,21905
114798,CStar,114798
102338,Calon,102338
9085,Cinet,9085
23805,DLSHS,23805
20049,DuArt,20049
28791,Duran,28791
16687,Film1,16687
2980,Forge,2980
32853,GKIDS,32853
1077,GONZO,1077
8943,Graal,8943
122594,HOBAB,122594
406,Havoc,406
6320,Hwy61,6320
5175,ICAIC,5175
6458,INCAA,6458
3622,Ibrus,3622
89522,Islet,89522
2210,K2 SA,2210
3445,Kudos,3445
41049,Kudzu,41049
120960,LPPTV,120960
98817,Label,98817
79426,MACRO,79426
119063,MIRAS,119063
73371,Media,73371
49710,Mixer,49710
3466,Movic,3466
117925,Movie,117925
5882,Namco,5882
67715,Nozon,67715
20678,Odeon,20678
65785,Oiffy,65785
90145,Palla,90145
7396,Pathe,7396
19771,Piano,19771
3,Pixar,2
94079,Prime,94079
24296,RAMCO,24296
67486,Rai 3,67486
8853,Rogue,8853
9116,SODEC,9116
1478,Sat.1,1478
4649,Sedic,4649
127648,Seven,127648
3657,Sidus,3657
17962,Slovo,17962
119227,Spoon,119227
38735,Starr,38735
17228,T-Joy,17228
37134,Tecmo,37134
15139,Tele+,15139
480,Tobis,480
3397,Tommy,3397
24905,Union,24905
19126,VGTRK,19126
3829,WarpX,3829
76359,Water,76359
97898,YOUKU,97898
38175,ZBROS,38175
113855,Zebra,113855
15585,Zone3,15585
23877,saban,23877
8676,uFilm,8676
22127,uFund,22127
44429,2CFilm,44429
23644,2DUX²,23644
17349,2Plan2,17349
104363,30WEST,104363
7413,3Foot7,7413
5581,4 Film,5581
100770,42film,100770
6128,A-Team,6128
104482,AMedia,104482
52518,Agenda,52518
44402,Ager 3,44402
4349,Amrion,4349
11547,Ancine,11547
139617,Araneo,139617
27758,Artbox,27758
106188,Arte 7,106188
2509,Artimm,2509
32178,Aurora,32178
25372,Bandry,25372
45726,Banter,45726
75357,BondIt,75357
7220,CAPCOM,7220
92340,Caldix,92340
104,Canal+,104
56961,Canvas,56961
2699,Caviar,2699
23408,Caviar,23408
10611,Ciné+,10611
2564,Ciné@,2564
10130,Ciskul,10130
7299,Corsan,7299
947,Cowell,947
26476,Cubica,26476
1778,DENTSU,1778
10761,Danjaq,10761
21906,Dawliz,21906
2519,DeBart,2519
69889,Decade,69889
5958,Defilm,5958
7062,Dynamo,7062
66075,E-Film,66075
71985,Epidem,71985
616,Eskwad,616
21546,Fabula,21546
86947,Fel-UK,86947
117461,Fields,117461
3111,Filand,3111
100196,FilmIT,100196
3631,Filmax,3631
103331,G-BASE,103331
3041,GAINAX,3041
20475,GH One,20475
52197,Gatlin,52197
118403,Gavila,118403
7582,HW Two,7582
77966,Hanson,77966
88030,Harbin,88030
2598,Hasbro,2598
79268,HiFilm,79268
2355,Hirsch,2355
7119,Hybrid,7119
1183,Impala,1183
3953,Island,3953
7177,Item 7,7177
4198,Ixtlan,4198
4103,J Team,4103
90177,J-Plan,90177
22133,JEMPSA,22133
19491,Jerico,19491
22722,K-Star,22722
26472,KaBoGa,26472
19940,Kairos,19940
11459,Kanoon,11459
10112,Kasbah,10112
653,Komuna,653
55914,Konami,55914
72854,KykNet,72854
22059,Laredo,22059
11849,Lawson,11849
108317,Lazona,108317
839,Lou Yi,839
6827,Madman,6827
8608,Magnum,8608
11301,Max TV,11301
24846,Menuet,24846
19534,Mirage,19534
119402,Mitico,119402
16215,Mjölk,16215
54634,Mosaic,54634
2783,Motlys,2783
87339,NLO TV,87339
50819,Natant,50819
6611,Nazira,6611
58945,OTE TV,58945
140293,Obbosi,140293
79438,Ossane,79438
103697,PASTEL,103697
37366,PS 260,37366
11733,Pariah,11733
47231,Pinema,47231
21303,Polsat,21303
6542,Pricel,6542
21163,Profit,21163
79194,PubRes,79194
2198,Pupkin,2198
83868,Racova,83868
56134,Radgar,56134
21527,ReDark,21527
74858,Reflex,74858
109272,Režim,109272
45720,S.Kids,45720
78847,Shrine,78847
90358,Someci,90358
48577,Sparks,48577
72702,TRAFIK,72702
1040,Tabbak,1040
78874,Tadmor,78874
12326,Tanlay,12326
15383,Tatira,15383
33089,TeamTO,33089
8046,Telefe,8046
9011,Toloda,9011
23932,UGC PH,23932
10344,UGC YM,10344
12548,Ufland,12548
19037,Umedia,19037
135545,Unipol,135545
26290,Unitel,26290
1419,Virgin,1419
2219,Vision,2219
32874,Volten,32874
1197,Vortex,1197
12259,W.I.P.,12259
17817,Warp X,17817
28598,Zodiak,28598
6610,nazira,6610
94435,39Films,94435
51860,AI-Film,51860
11610,Absurda,11610
6154,Allfilm,6154
10736,Amercom,10736
84233,Anagram,84233
2883,Aniplex,2883
6063,Annonce,6063
6996,Apostle,6996
22369,Arcadia,22369
134966,Atitlan,134966
84803,Aviacsa,84803
50499,B Story,50499
9962,BD Cine,9962
73625,BH Tilt,73625
23960,BMovies,23960
11259,Babylon,11259
10026,Baleuko,10026
3600,Bandora,3600
18270,Beeplex,18270
115736,Belfius,115736
34256,Bionaut,34256
3837,Bioscop,3837
32183,BocFlix,32183
15127,Boll KG,15127
1878,Bonfire,1878
9054,BosBros,9054
45851,Braniff,45851
107910,Breaker,107910
5324,Brigada,5324
6663,C-Films,6663
6566,CNCAIMC,6566
21058,CONARTE,21058
47031,Capella,47031
53653,Caracol,53653
106661,Channel,106661
94865,Chimney,94865
6927,Cinepro,6927
11078,Cineric,11078
27196,Ciné B,27196
21530,Climage,21530
74663,Code 99,74663
8352,Coficup,8352
76167,Cominco,76167
90022,Company,90022
21938,Copag V,21938
22509,DI Love,22509
87211,DMM.com,87211
1597,DSM III,1597
98751,Dacodac,98751
10678,De Milo,10678
58550,DeerJen,58550
963,Destiny,963
