movie_id,collection_id,collection_name
179796,1167214,Veronica (1972) Collection
111110,1235917,Herr Wichmann Collection
340670,1221567,Woman in a Box Collection
505060,506363,The Gallows Collection
505058,506355,Unfriended Collection
14348,791936,An Evening with Kevin Smith Collection
441957,518594,Fantastic Journey To Oz
33604,214702,Mi Nismo Anđeli Collection
33606,214702,Mi Nismo Anđeli Collection
179917,180006,Scorpio Nights Collection
14373,14377,Death Wish Collection
33613,24761,The Millennium Collection
33608,214702,Mi Nismo Anđeli Collection
373321,286177,Rise of the Footsoldier Collection
505436,579870,Serial (Bad) Weddings Collection
442249,256322,The Purge Collection
14394,20970,Sarkar Collection
78564,188133,Les Charlots - Saga
14406,44937,Les Bodin's Collection
14399,922575,Killing Cabos Collection
505513,525451,Detective Chinatown Collection
55093,417737,Doc West Collection
14400,70764,Largo Winch Collection
33660,331475,Shiloh Collection
14405,87256,Beverly Hills Chihuahua Collection
55111,352876,Lude Godine Collection
55114,352876,Lude Godine Collection
295830,370411,Attack on Titan Collection
55117,352876,Lude Godine Collection
505618,730742,Aliens Ate My Homework Collection
33701,52835,French Fried Vacation
180299,257960,The Raid Collection
243544,245321,K3 Collectie
55120,352876,Lude Godine Collection
373449,572498,Robot Collection
55119,352876,Lude Godine Collection
55113,352876,Lude Godine Collection
55121,352876,Lude Godine Collection
55132,478781,Tight Skin Collection
55116,352876,Lude Godine Collection
14451,286038,Dead Snow Collection
14457,297371,Reeker Collection
33723,264335,The Eye Collection
33767,818576,Beyond the Door Collection
55131,478781,Tight Skin Collection
33740,208602,That's Entertainment Collection
55133,478781,Tight Skin Collection
295887,168880,Beethoven Collection
340865,294918,Paranormal Investigations Collection
111422,97156,Varg Veum Collection
180371,429232,It's Going to Work Collection
373571,535313,Godzilla Collection
243683,86092,Step Up Collection
111426,97156,Varg Veum Collection
966889,1221492,Sweden Porno
340912,341357,Meet the In-Laws
14491,316964,Arabian Nights (Thousand and One Nights)
78796,98426,Irene Huss Collection
14503,466318,Bachelor Party Collection
111507,463165,Black Cobra
33801,818576,Beyond the Door Collection
14510,1083017,From Beyond Collection
55248,1021155,Maneater Collection
33909,52783,Wall Street Collection
180631,262086,The Brotherhood Collection
506053,717062,Gatao Collection
33908,1231147,Three Extremes Collection
55254,148324,Uuno Turhapuro Collection
341007,598786,3 Braves Universe
33933,102114,Familien Gyldenkål Collection
243938,313576,Hot Tub Time Machine Collection
33935,102114,Familien Gyldenkål Collection
33936,102114,Familien Gyldenkål Collection
341013,524837,Atomic Blonde Collection
276696,368463,Screwed Up Collection
14546,483464,Golmaal Collection
33940,312774,Girls at Arms
33941,312774,Girls at Arms
14564,14563,The Ring Collection
244049,787649,The Drishyam Collection
33942,312774,Girls at Arms
14560,328372,Mall Cop Collection
55341,94899,Jeepers Creepers Collection
55384,153202,Bayside Shakedown Collection
180863,424202,Trainspotting Collection
55379,103190,Female Prisoner Scorpion Collection
33989,371760,Cruising Bar Collection
55382,153202,Bayside Shakedown Collection
180894,244242,Ninja Collection
506319,512693,Atlantic Rim Collection
180907,285249,Hard Time Collection
111749,203029,Witchcraft Collection
373932,1328362,Adaś Miauczyński - Kolekcja
341190,24717,Johan Falk GSI Collection
55477,649805,Sanky Panky Collection
55465,30663,Harold & Kumar Collection
34019,377545,Samurai Trilogy (Yoji Yamada) Collection
79036,298187,Lezioni di Cioccolato Collection
636151,1051993,Perfect Wife Collection
244401,908211,Tensión sexual - Colección
111836,899618,Gabbar Singh Collection
55470,126580,One Missed Call Collection
374039,411744,Free and Easy Collection
14631,243738,The Work and the Glory Collection
443210,921329,¿Usted No Sabe Quien Soy Yo? - Colección
14620,52749,The Butterfly Effect Collection
506574,466463,Descendants Collection
55494,900085,Niskavuori Kokoelma
14636,375228,The Condemned Collection
14624,269190,The Ultimate Collection
55558,148324,Uuno Turhapuro Collection
79084,1068726,Mental Minefields: The Dark Tales
14628,104833,Fletch Collection
636288,1109846,One Night in... Collection
636310,824398,Los Superagentes
558394,666935,D.P.A. - Detetives do Prédio Azul: Coleção
636307,824398,Los Superagentes
506677,923738,Happiness Collection
579898,606179,What's With This ...?! Collection
443297,562535,Moontrap Collection
34134,422361,Barbie A Mermaid Tale Collection
55612,97156,Varg Veum Collection
443401,518066,The Étoile Collection
