movie_id,keyword_id,keyword_name
525937,1013,homophobia
525937,2318,choir
525937,3644,south africa
525937,4106,apartheid
525937,5947,military service
525937,10180,male homosexuality
525937,158718,lgbt
525937,208289,1980s
525937,244989,military choir
525937,258533,gay theme
525937,275157,homosexuality
8681,10084,rescue
8681,90,"paris, france"
8681,1930,kidnapping
8681,13059,prostitution
8681,15049,sex trafficking
8681,182045,albanian
8681,197430,missing daughter
8681,212757,ex special forces
8681,212801,ex-cia agent
8681,235261,abduction
8681,238328,search for daughter
8681,243769,army veteran
24684,704,adolescence
24684,970,parent child relationship
24684,965,age difference
24684,2796,self-discovery
24684,10683,coming of age
24684,9673,love
24684,14641,based on memoir or autobiography
24684,14720,love affair
24684,18035,family
24684,187056,woman director
24684,206720,teenage life
24684,266753,cautionary
329605,10683,coming of age
329605,184432,divorced father
24688,10051,heist
24688,291473,criminal trio
24685,818,based on novel or book
245749,187056,woman director
8690,4426,sadism
8690,10787,jungle
8690,13006,torture
8690,14895,cannibal
8690,173162,sect
8690,208365,new guinea
95035,490,philosophy
95035,1942,strangeness
95035,8201,satire
95035,11001,religion
95035,236316,anarchic comedy
45075,779,martial arts
45075,9725,sword fight
45075,40884,blade
45075,208244,16th century
45075,232421,joseon dynasty
24687,10051,heist
24687,291473,criminal trio
67453,187056,woman director
8688,441,assassination
8688,585,casino
8688,395,gambling
8688,2339,political activism
8688,6610,naval officer
8688,10530,atlantic city
8688,159937,bribery
8688,180668,homicide detective
8688,181549,secretary of defense
8688,209799,whistleblower
8688,267608,corrupt cop
8688,308144,boxing match
8688,308145,assassination plot
8688,308147,navy commander
8689,596,adultery
8689,570,rape
8689,1585,snake
8689,4931,pig
8689,1463,culture clash
8689,4720,ritual
8689,886,movie business
8689,2517,leech
8689,3986,spider
8689,5160,animal attack
8689,9701,controversy
8689,4551,swamp
8689,10148,tribe
8689,5569,vomit
8689,5968,amazon rainforest
8689,9732,film in film
8689,10864,human sacrifice
8689,10787,jungle
8689,13006,torture
8689,13083,rape and murder
8689,14707,brutality
8689,14895,cannibal
8689,15394,hatchet
8689,18266,south america
8689,33490,filmmaking
8689,156091,missing person
8689,160517,fake documentary
8689,161166,misogyny
8689,162745,ritual sacrifice
8689,163053,found footage
8689,174109,documentary filmmaking
8689,188460,tortoise
8689,189921,video nasty
8689,192694,lost footage
8689,205685,animal cruelty
8689,210856,amazon tribe
8689,232071,vomiting woman
8689,243608,abused woman
8689,246926,film within a film
8689,248288,adulterous wife
8689,253980,film censorship
8689,263398,film industry
8689,299360,guerilla filmmaking
8689,310003,banned film
8689,310004,disemboweling
8689,310005,film reel
8689,310006,yacomo
45077,10266,prom
45077,14522,co-workers relationship
45077,14590,recital
357183,187056,woman director
8691,2150,cocaine
8691,10148,tribe
8691,9826,murder
8691,10787,jungle
8691,13006,torture
8691,14895,cannibal
8691,14964,drugs
8691,161276,anthropologist
8691,189921,video nasty
95028,14736,motorcycle gang
24693,10051,heist
24693,291473,criminal trio
182779,534,mexico
182779,9826,murder
182779,176182,psycho
45083,10349,survival
45083,210108,"perth, australia"
45083,295702,death game
24692,10051,heist
24692,156120,train robbery
24692,291473,criminal trio
307226,18035,family
307226,208349,child
329638,5565,biography
619333,251146,escritor
619333,274937,libros
619333,274938,maldición
394622,6054,friendship
394622,570,rape
394622,567,alcohol
394622,10085,betrayal
394622,173242,modeling
394622,180715,giving birth
394622,184497,maternity ward
45094,378,prison
45094,380,sibling relationship
45094,1700,massachusetts
45094,5340,investigation
45094,11038,trial
45094,10594,money
45094,9798,law school
45094,9826,murder
45094,207317,christmas
245775,5565,biography
245775,7024,fashion designer
245775,15479,fashion
245775,245700,mode
245775,266959,lgbt interest
357184,13042,football (soccer)
444951,3725,pregnancy
444951,14534,relationship
444951,160246,childhood friends
444951,178329,friends in love
24698,10051,heist
24698,291473,criminal trio
45097,1332,cheating
45097,1436,inventor
45097,1576,technology
45097,738,sexuality
45097,6257,genius
45097,6152,supernatural
45097,7570,belly dancing
45097,10683,coming of age
45097,9826,murder
45097,10121,stop motion
45097,14544,robot
45097,161919,adult animation
45097,208038,belly dancer
656724,254408,roma
8692,2956,vietnam
8692,4294,flea market
8692,9826,murder
8692,14805,maniac
8692,14895,cannibal
8692,189921,video nasty
8692,301108,young girl next door
8692,301109,young girl living next door
8692,301110,"atlanta, usa"
24694,10051,heist
24694,291473,criminal trio
8698,83,saving the world
8698,339,submarine
8698,110,"venice, italy"
8698,4978,immortality
8698,9717,based on comic
8698,10028,steampunk
8698,33637,super power
8698,156033,jekyll and hyde
8698,169378,evil plot
8698,191409,captain nemo
8698,191439,allan quatermain
8698,204030,secret lair
8698,210701,nautilus
8698,220815,unassuming
8698,232533,immortal
8698,252596,victorian era
8698,261209,moriarty
8698,271162,invisible man
8698,272742,vampiress (female vampire)
8698,325769,appreciative
45089,232421,joseon dynasty
770048,285429,carlos gardel
8697,3800,airplane
8697,1721,fight
8697,409,africa
8697,4289,secret agent
8697,5572,fistfight
8697,15248,commando
45102,409,africa
45102,3335,halloween
45102,7172,buried alive
45102,171376,funhouse
45102,191327,evil clown
45102,196691,stepsister
45102,202291,totem
45102,242587,fears
445007,10123,dark comedy
24697,10051,heist
24697,291473,criminal trio
67509,818,based on novel or book
67509,5923,sister
67509,10909,lawyer
67509,18165,animals
67509,158395,animal lover
67509,187056,woman director
67509,189393,conflict with in-law
67509,189397,country girl
67515,1366,shotgun
67515,1879,shower
67515,2479,chicken
67515,5800,geek
67515,9826,murder
8696,5215,northern england
8696,392,england
8696,2863,mannequin
8696,9672,based on true story
8696,8097,leukemia
8696,8098,calendar
8696,9180,yorkshire
24699,10051,heist
24699,291473,criminal trio
67499,187056,woman director
795130,1416,jazz
795130,409,africa
795130,4004,cultural revolution
24703,1740,pop culture
24703,9818,fan culture
