movie_id,company_id,company_name
111088,93414,Trilema
111088,313,TS Productions
111088,94,ARTE France Cinéma
54953,641,Titanus
54953,1242,Reteitalia
54953,178854,Arlac Film
276488,47348,Greenhouse Media Investment
276488,2446,Makar Productions
276488,18078,Fantastic Films
295709,3341,Fuji Television Network
295709,882,TOHO
54955,152575,SP Filmes de São Paulo
54954,28815,Raiz Produções Cinematográficas
340666,9351,Fade to Black
340666,10146,Focus Features
340666,10338,Perfect World Pictures
340666,2394,Artina Films
14346,64027,Werkaround
14346,5708,The 7th Floor
14346,64028,First Motionless Pictures
505036,12774,Chiara Film Internazionali
505036,168,Jadran Film
505036,1583,RAI
78516,3950,Palisades Pictures
78516,1879,White Mountain Films
111101,93663,Altertise
179783,76870,Korea February 8 Film Studio
111098,1653,Film House Baš Čelik
111098,23084,Vertigo
111098,14819,Asap Films
111098,83029,Tivoli Film Produkcio
111098,74987,Arkadena Zagreb
111098,62357,Vision Team
54956,152575,SP Filmes de São Paulo
179796,13655,Casa de Filme 3
295724,34322,Hornil Brothers Productions
295724,34323,Jane E. Ryan Productions
295724,34324,Filigrana Films
295719,3341,Fuji Television Network
295719,111399,Ehime Broadcasting
295719,111400,Nagano Broadcasting System
373247,124220,Wild Eddie
373247,7584,Screen Australia
373247,14430,Fulcrum Media Finance
373247,19010,Emu Creek Pictures
14344,2891,Acuity Pictures Production
14344,2892,Picture This! Entertainment
14344,2893,Palpable Productions
54966,68407,Sangeeta Enterprises
54966,65151,Mahal Pictures Pvt. Ltd.
111110,23622,Iskremas Filmproduktion
111110,2067,RBB
111110,197,Rommel Film
242888,13314,Palomar
242888,803,Alliance Atlantis
441967,89794,RoundhouseFilm
276498,32413,National Film Development Corporation of India
538632,123844,Tabula Rasa Films
179798,57487,Necta
33581,5310,BS Group
33581,5311,Intermedia Network
33581,5312,Media Net
340670,955,Nikkatsu Corporation
505060,69581,Tremendum Pictures
505060,3172,Blumhouse Productions
505060,78984,Entertainment 360
78522,1009,Crown International Pictures
295721,34320,Film Clinic
14349,4564,Icon Entertainment International
14349,3574,Denver & Delilah Films
14349,816,FilmEngine
14349,212,Infinity Features
340665,94,ARTE France Cinéma
373273,70305,Cinestampa Internazionale
54968,779,Lucky Red
54968,189,ARP Sélection
54968,720,Goldwyn Films
54968,12666,Jonescompany Productions
54968,30257,Hollywood Partners
54968,718,Arts Council of England
54968,6705,Film4 Productions
179826,10843,Future Films
179826,16278,Fusion Films
179826,19643,The Sommers Company
340676,51696,CG Cinéma
340676,79343,Vortex Sutra
340676,9111,Sirena Film
340676,587,ARTE
340676,94,ARTE France Cinéma
340676,48663,Detailfilm
340676,16259,Poisson Rouge Pictures
505058,109501,Bazelevs Entertainment
505058,73625,BH Tilt
33579,5324,Brigada
179843,21020,Filmsyndikat Filmproduktion UG
78517,27436,Pyramid Films International
14351,2894,360 Pictures
14351,2895,Dribble Productions
14351,2896,Platinum Equity
14347,556,Sherwood
14347,25,20th Century Fox
111149,16753,Gruskoff-Venture-Linson
33583,1521,Artemis Film
33583,64,Les Productions Artistes Associés
33583,7508,PEA
14348,16934,View Askew Productions
111089,6458,INCAA
111089,79277,La Normanda Producciones
441996,80893,BBC Studios
441996,72311,The Wellcome Trust
295715,192,Shochiku
111109,33812,Sine Olivia Pilipinas
767196,12617,Belarusfilm
33569,10970,BlueEyes Productions
33569,143164,Nordisk Film
579245,9,Gaumont
579245,356,TF1 Films Production
579245,7038,Quad Productions
579245,8018,Ten Films
579245,19233,120 Films
579245,78298,Belga Productions
54963,1311,The Asylum
442000,44839,Friday Film House
340669,6458,INCAA
276496,17761,Four Knights Film
33586,90232,SarcoFilms
78527,6735,Participant
78527,1274,Clinica Estetico
78527,58,Sony Pictures Classics
14357,3792,BOB Film Sweden
33582,32292,Leonine Verse
635399,87426,Rod Pictures
635399,148381,STUDIO BONANZA
442056,3922,A. Film Production
442056,8104,Ambient Entertainment
442056,27277,Cool Beans
442056,8177,Rothkirch Cartoon Film
54991,161,Claussen+Wöbke Filmproduktion
111155,52437,TROS
111155,8962,Eyeworks Film & TV Drama
14353,2061,Twisted Pictures
14353,1632,Lionsgate
14353,771,Mandate Pictures
579273,7286,Epithète Films
579273,11620,OCS
579273,10611,Ciné+
579273,20881,Playtime
54976,8369,Alta Films
54976,87870,Producciones La Iguana S.L.
441957,5306,Melnitsa Animation Studio
441957,318,CTB Film Company
111160,3268,HBO
33604,5940,Avala Film
78528,59199,Five Sisters Productions
242928,64498,Cinetel
242928,121645,EGM Producciones
242928,62224,Hangar Films
242928,134777,Ma Non Troppo Films
54989,85315,Cinearte Produções Cinematográficas
54989,13930,Embrafilme
295748,4308,CMYLMZ Fikirsanat
33580,5325,PFI Studios
373265,22482,Grand Brilliance
33601,20693,KGP Kranzelbinder Gabriele Production
33601,28394,Art & Popcorn
33601,93785,Icon Film
54981,126866,جودنيوز فور فيلم اند ميوزيك
242978,76058,㈜디엔에이엔터테인먼트
242978,2467,Sponge
33606,83125,RTV Pink
33606,41355,Delirium
54990,371,Cecchi Gori
54990,37353,Aura Film
54990,1583,RAI
340674,41624,RatPac Entertainment
340674,104709,Gerson Film
340674,53634,InterTitle Films
340674,6477,Opus Film
340674,93409,Some Kind of Garden
340674,76992,Saban Films
340674,85283,Los Angeles Media Fund
14355,5822,Toei Company
33588,14914,HBO Documentary Films
505143,93647,Skify
505143,116722,Katarsis
33603,5940,Avala Film
33603,29683,C.F.S. Košutnjak
179917,8238,Regal Entertainment Inc.
54982,3268,HBO
1029447,3623,Kazakhfilm Studios
111132,7008,Centerstage Productions
111132,34509,Gee Films International
14365,8832,Noelle Entertainment Limited
14365,2364,The Montecito Picture Company
505204,10756,Dreamtool Entertainment
14359,258,Scott Rudin Productions
14359,3534,Goodspeed Productions
14359,14,Miramax
54986,7036,CJ Entertainment
54986,11556,Mirae Asset Capital
54986,94913,Saehan Industries
54986,16505,Taehung Pictures
111174,10369,Break Thru Films
111174,11709,Major League Baseball Productions
111174,11710,How Am I Doing Productions
111174,11711,New Mexico Media Partners
