movie_id,country_code,release_date,certification,type
525937,CA,2018-05-29T00:00:00.000Z,,1
394546,US,2005-10-24T00:00:00.000Z,,3
8681,AU,2008-08-14T00:00:00.000Z,M,3
8681,BG,2008-09-26T00:00:00.000Z,D,3
8681,BR,2008-09-19T00:00:00.000Z,14,3
8681,CA,2009-01-30T00:00:00.000Z,14A,3
8681,CZ,2008-10-16T00:00:00.000Z,12,3
8681,DE,2008-02-18T00:00:00.000Z,16,3
8681,DK,2009-03-27T00:00:00.000Z,15,3
8681,ES,2011-08-05T00:00:00.000Z,18,3
8681,FI,2009-01-09T00:00:00.000Z,K-16,3
8681,FR,2008-02-27T00:00:00.000Z,16,3
8681,FR,2021-06-15T00:00:00.000Z,,4
8681,FR,2020-07-27T00:00:00.000Z,,4
8681,FR,2022-02-25T00:00:00.000Z,16,4
8681,FR,2008-11-26T00:00:00.000Z,,5
8681,GB,2008-09-26T00:00:00.000Z,18,3
8681,GR,2009-06-18T00:00:00.000Z,13,3
8681,HU,2009-03-19T00:00:00.000Z,6,4
8681,IE,2008-09-26T00:00:00.000Z,15A,3
8681,IL,2013-09-29T00:00:00.000Z,,3
8681,IT,2008-08-14T00:00:00.000Z,,3
8681,JP,2009-08-22T00:00:00.000Z,,3
8681,KR,2008-04-09T00:00:00.000Z,18,3
8681,LT,2009-04-24T00:00:00.000Z,,3
8681,MX,2008-08-16T00:00:00.000Z,B-15,3
8681,NL,2008-04-03T00:00:00.000Z,12,3
8681,NL,2009-03-18T00:00:00.000Z,12,5
8681,NL,2011-01-12T00:00:00.000Z,12,5
8681,NL,2011-02-25T00:00:00.000Z,12,6
8681,PL,2008-08-15T00:00:00.000Z,16,4
8681,PT,2008-10-30T00:00:00.000Z,M/16,3
8681,RO,2008-05-16T00:00:00.000Z,AP,4
8681,SE,2009-03-06T00:00:00.000Z,15,3
8681,TH,2008-09-18T00:00:00.000Z,PG-13 ,3
8681,US,2009-01-30T00:00:00.000Z,PG-13,3
8681,VN,2009-02-27T00:00:00.000Z,,3
24684,AT,2010-04-16T00:00:00.000Z,,3
24684,AU,2009-10-29T00:00:00.000Z,PG,3
24684,BR,2010-02-19T00:00:00.000Z,,3
24684,CH,2010-02-24T00:00:00.000Z,12,4
24684,DE,2010-02-18T00:00:00.000Z,0,3
24684,DK,2010-04-22T00:00:00.000Z,11 år,3
24684,ES,2010-02-26T00:00:00.000Z,7,3
24684,FR,2010-02-24T00:00:00.000Z,U,3
24684,GB,2009-10-30T00:00:00.000Z,12A,3
24684,IE,2009-10-30T00:00:00.000Z,15,4
24684,IT,2010-02-05T00:00:00.000Z,,3
24684,JP,2010-02-27T00:00:00.000Z,PG12,4
24684,KR,2010-03-18T00:00:00.000Z,15,3
24684,NL,2010-02-11T00:00:00.000Z,AL,3
24684,NL,2010-07-15T00:00:00.000Z,AL,5
24684,NL,2010-03-08T00:00:00.000Z,AL,5
24684,NL,2012-08-04T00:00:00.000Z,AL,6
24684,PT,2010-02-18T00:00:00.000Z,M/12,3
24684,RO,2010-03-19T00:00:00.000Z,,3
24684,RU,2010-03-11T00:00:00.000Z,16+,3
24684,US,2009-01-18T00:00:00.000Z,,1
24684,US,2009-10-30T00:00:00.000Z,PG-13,3
532970,SU,1981-12-01T00:00:00.000Z,,2
532970,SU,1982-07-29T00:00:00.000Z,,3
532970,SU,1983-01-15T00:00:00.000Z,,3
67445,CA,2004-09-18T00:00:00.000Z,,1
67445,US,2005-05-08T00:00:00.000Z,R,2
532971,EG,1995-11-27T00:00:00.000Z,,3
45072,CA,2005-10-21T00:00:00.000Z,,3
45072,FI,2006-02-22T00:00:00.000Z,,3
45072,US,2006-01-24T00:00:00.000Z,,3
45070,JP,2005-08-27T00:00:00.000Z,,3
619317,AR,2019-04-06T00:00:00.000Z,,1
619317,AR,2019-08-22T00:00:00.000Z,,3
182799,US,2000-04-14T00:00:00.000Z,R,2
770033,CA,1999-01-01T00:00:00.000Z,,3
770033,GB,1999-01-01T00:00:00.000Z,,3
770033,JP,1999-01-01T00:00:00.000Z,,3
770033,ZA,1999-01-01T00:00:00.000Z,,3
532974,EG,2004-01-01T00:00:00.000Z,,3
329605,AR,2013-11-17T00:00:00.000Z,,3
707046,AR,2019-04-06T00:00:00.000Z,,1
95023,US,1986-02-21T00:00:00.000Z,PG,3
770031,AR,1999-02-04T00:00:00.000Z,,1
