movie_id,language,english_name
7551,en,English
392781,de,German
306340,da,Danish
285975,en,English
285975,es,Spanish
285975,fr,French
7553,en,English
7553,ru,Russian
179796,ro,Romanian
66155,de,German
242888,en,English
242888,fr,French
505036,it,Italian
179783,ko,Korean
23830,en,English
44196,en,English
66150,en,English
44198,en,English
23847,en,English
66151,fr,French
505058,en,English
505058,id,Indonesian
505058,ja,Japanese
568483,fr,French
179826,en,English
7552,es,Spanish
7552,en,English
130642,de,German
392790,tl,Tagalog
66163,cn,Cantonese
23834,ko,Korean
392770,it,Italian
767196,ru,Russian
355496,ru,Russian
66160,zh,Mandarin
392788,fr,French
392788,el,Greek
285992,it,Italian
130641,de,German
130641,fr,French
130641,en,English
505060,en,English
441967,de,German
441967,en,English
269747,en,English
269747,pa,Punjabi
306342,sn,Shona
44201,en,English
179798,en,English
285994,it,Italian
285995,en,English
285995,id,Indonesian
531841,es,Spanish
7555,en,English
7555,my,Burmese
7555,th,Thai
617644,en,English
93350,en,English
44202,en,English
441957,ru,Russian
269776,es,Spanish
269776,fr,French
328309,da,Danish
568487,de,German
93344,en,English
242911,te,Telugu
23853,en,English
66164,en,English
130647,fr,French
66167,zh,Mandarin
242928,es,Spanish
93320,en,English
93320,hi,Hindi
441971,de,German
441971,en,English
355506,en,English
269785,zh,Mandarin
269785,ja,Japanese
269785,en,English
441974,de,German
441974,pt,Portuguese
794070,it,Italian
355522,ja,Japanese
505089,fr,French
392791,fa,Persian
23855,en,English
23855,pt,Portuguese
23854,pt,Portuguese
44211,it,Italian
44214,en,English
44214,fr,French
44214,it,Italian
66171,cn,Cantonese
66171,zh,Mandarin
328319,ar,Arabic
617669,el,Greek
392794,fr,French
392794,en,English
286000,es,Spanish
392795,ja,Japanese
179843,de,German
269791,cn,Cantonese
442000,ml,Malayalam
66176,en,English
66176,fr,French
242951,zh,Mandarin
269795,en,English
767257,de,German
767257,fr,French
767257,ro,Romanian
767257,hu,Hungarian
23857,fr,French
392796,ar,Arabic
392796,he,Hebrew
441996,en,English
269796,id,Indonesian
355525,tr,Turkish
44217,zh,Mandarin
44219,en,English
93383,en,English
242978,ko,Korean
392798,de,German
442056,en,English
442056,zh,Mandarin
442056,de,German
442056,nl,Dutch
66179,it,Italian
286003,en,English
505143,ru,Russian
328324,nl,Dutch
44221,en,English
1056233,it,Italian
392800,ar,Arabic
392800,fr,French
1029447,ru,Russian
531949,en,English
355528,pt,Portuguese
286012,es,Spanish
179917,tl,Tagalog
179917,en,English
44223,en,English
44223,de,German
66183,en,English
93387,cn,Cantonese
93387,zh,Mandarin
93387,en,English
392801,fr,French
269849,en,English
442065,en,English
505175,hi,Hindi
66186,en,English
44224,en,English
442094,en,English
66185,it,Italian
286015,es,Spanish
269877,de,German
355536,en,English
392803,fr,French
879831,es,Spanish
179944,cn,Cantonese
505177,en,English
505201,en,English
286017,de,German
286017,en,English
286017,fr,French
44226,it,Italian
93394,en,English
93394,fr,French
392804,he,Hebrew
392809,es,Spanish
392807,en,English
392807,fi,Finnish
505192,ja,Japanese
879840,es,Spanish
179956,fr,French
44233,es,Spanish
44233,en,English
505204,en,English
505204,de,German
66188,fr,French
286018,es,Spanish
66187,fr,French
7734,de,German
44241,fr,French
830672,zh,Mandarin
548164,en,English
617698,ru,Russian
66189,de,German
442123,it,Italian
392812,ro,Romanian
442126,it,Italian
505205,de,German
505205,en,English
505205,it,Italian
505205,es,Spanish
7735,de,German
7737,en,English
44246,de,German
44246,tr,Turkish
286022,es,Spanish
66192,en,English
355557,ru,Russian
93412,cn,Cantonese
392814,pl,Polish
442133,de,German
392816,it,Italian
243101,fr,French
442185,en,English
532063,en,English
532063,is,Icelandic
532063,pt,Portuguese
532063,sv,Swedish
44247,en,English
505273,en,English
505273,de,German
505273,it,Italian
532051,be,Belarusian
328337,he,Hebrew
617708,es,Spanish
548176,es,Spanish
66194,en,English
704331,ru,Russian
44248,en,English
44248,hi,Hindi
548182,es,Spanish
7797,de,German
7797,sa,Sanskrit
7797,es,Spanish
7797,en,English
7797,it,Italian
7797,fr,French
392817,ru,Russian
617710,ar,Arabic
66195,en,English
548184,es,Spanish
44249,en,English
44249,cn,Cantonese
44249,zh,Mandarin
44249,ja,Japanese
392818,en,English
180048,en,English
180048,ml,Malayalam
355576,en,English
355576,de,German
243139,en,English
442197,pt,Portuguese
532097,en,English
532097,nl,Dutch
44250,ru,Russian
44250,en,English
568534,fr,French
328341,es,Spanish
269955,ko,Korean
392820,en,English
355582,es,Spanish
355582,gn,Guarani
328345,tr,Turkish
130677,en,English
548188,es,Spanish
269961,en,English
269961,fr,French
269961,de,German
269961,he,Hebrew
269961,ru,Russian
23898,ru,Russian
