imdb_id,tmdb_id
tt22077158,960773
tt0265049,594656
tt0114385,1124869
tt1132151,628008
tt0226110,748262
tt0178895,570550
tt0319171,78986
tt2323649,736409
tt0211907,812246
tt0105555,1242874
tt7317422,429916
tt4828926,527570
tt1756779,1042373
tt9395824,512782
tt19370932,1159729
tt9573980,594404
tt0148361,1028048
tt0079106,495514
tt0157393,713727
tt0427387,740924
tt0216345,669948
tt0101495,594988
tt0078817,617931
tt0101968,1081981
tt0100182,838530
tt28697022,572831
tt0275856,1203896
tt1820225,1301275
tt0307442,1260559
tt6170950,830621
tt0099249,607164
tt0092255,693989
tt1014068,780740
tt0073753,621192
tt0078042,571210
tt0159708,953610
tt8184786,697171
tt1631769,656227
tt0309544,1052622
tt0312340,1167786
tt0208370,669942
tt0256701,730818
tt9296084,704642
tt0175104,456928
tt3381988,797820
tt21854614,722949
tt3303440,1147981
tt0101362,747583
tt0083980,961335
tt2865522,1031717
tt0273040,1253448
tt4625084,528156
tt6693016,448559
tt0274108,887603
tt12326990,327595
tt4046392,1169158
tt0209447,627761
tt6052800,446401
tt10520882,580741
tt0251769,1265925
tt0491414,637076
tt7301068,619373
tt6848226,746387
tt18263610,686011
tt12463672,661326
tt7089960,893452
tt11101858,578495
tt5826554,993509
tt9239946,668404
tt11137412,1072516
tt4056084,730598
