Unnamed: 0,url,movie_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error,box_office_min,release_date,budget_avg_usd,budget_avg_usd_rate,box_office_avg_usd,box_office_avg_usd_rate
45067,https://en.wikipedia.org/wiki/Judgment_Night_(film),6,$21 million[citation needed],USD,21000000.0,21000000.0,21000000.0,,"$12,136,999[2]",USD,,12136999.0,12136999.0,,"{'IMDb': 'https://www.imdb.com/title/tt0107286/', 'AllMovie': 'https://www.allmovie.com/movie/v121611'}",,12136999.0,1993-10-01,21000000.0,1.0,12136999.0,1.0
9163,https://en.wikipedia.org/wiki/Star_Wars_(film),11,$11 million [3][4],USD,11000000.0,11000000.0,11000000.0,,$775.4 million [3],USD,775400000.0,775400000.0,775400000.0,,"{'Official website': 'https://www.lucasfilm.com/productions/episode-iv/', 'AllMovie': 'https://www.allmovie.com/movie/v46636', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/55187', 'Star Wars, Episode IV: A New Hope (1977)': 'http://www.filmsite.org/starw.html', 'IMDb': 'https://www.imdb.com/title/tt0076759/', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/22123/enwp', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/star_wars/reviews'}",,,1977-05-01,11000000.0,1.0,775400000.0,1.0
1610,https://en.wikipedia.org/wiki/Forrest_Gump,13,$55 million[2],USD,55000000.0,55000000.0,55000000.0,,$678.2 million[2],USD,678200000.0,678200000.0,678200000.0,,"{'': 'http://www.paramount.com/movies/forrest-gump/', 'IMDb': 'https://www.imdb.com/title/tt0109830/', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/75434/enwp', 'AllMovie': 'https://www.allmovie.com/movie/v131221', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=forrestgump.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/forrest_gump', 'Paramount Movies –Forrest Gump': 'https://www.paramountmovies.com/movies/forrest-gump'}",,,1994-06-01,55000000.0,1.0,678200000.0,1.0
9656,https://en.wikipedia.org/wiki/American_Beauty_(1999_film),14,$15 million[2],USD,15000000.0,15000000.0,15000000.0,,$356.3 million[2],USD,356300000.0,356300000.0,356300000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0169547/', 'AllMovie': 'https://www.allmovie.com/movie/v180738', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/american_beauty', 'Metacritic': 'https://www.metacritic.com/movie/american-beauty'}",,,1999-09-01,15000000.0,1.0,356300000.0,1.0
26075,https://en.wikipedia.org/wiki/Dancer_in_the_Dark,16,USD$12.5 million[5](120 million kr),SEK,12500000.0,12500000.0,12500000.0,,$45.6 million[5][6](416 million kr),SEK,45600000.0,45600000.0,45600000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0168629/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=dancerinthedark.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/dancer_in_the_dark', 'Metacritic': 'https://www.metacritic.com/movie/dancer-in-the-dark', 'Review by Sian Kirwan – BBC': 'https://www.bbc.co.uk/films/2000/09/13/dancer_in_the_dark_review.shtml', 'Review atThe Film Experience': 'https://web.archive.org/web/20051125140438/http://www.thefilmexperience.net/Reviews/dancerinthedark.html'}",,,2000-09-01,1296035.1692103518,0.10368281353682814,4727936.297279363,0.10368281353682814
30901,https://en.wikipedia.org/wiki/The_Fifth_Element,18,$90 million[3][4][5][6][a],USD,90000000.0,90000000.0,90000000.0,,$263.9 million[7],USD,263899999.99999997,263899999.99999997,263899999.99999997,,"{'Official website': 'https://www.sonypictures.com/movies/thefifthelement', 'IMDb': 'https://www.imdb.com/title/tt0119116/', 'AllMovie': 'https://www.allmovie.com/movie/v154944'}",,,1997-05-01,90000000.0,1.0,263899999.99999997,1.0
37223,https://en.wikipedia.org/wiki/My_Life_Without_Me,20,$2.5 million [1],USD,2500000.0,2500000.0,2500000.0,,$12.3 million [2],USD,12300000.0,12300000.0,12300000.0,,"{'the original': 'https://web.archive.org/web/20160316153420/http://sonyclassics.com/mylifewithoutme', 'IMDb': 'https://www.imdb.com/title/tt0314412/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=mylifewithoutme.htm'}",,,2003-03-01,2500000.0,1.0,12300000.0,1.0
6632,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,22,$140 million[2],USD,140000000.0,140000000.0,140000000.0,,$654.3 million[2],USD,654300000.0,654300000.0,654300000.0,,"{'Official website': 'http://pirates.disney.com/pirates-of-the-caribbean-the-curse-of-the-black-pearl', 'IMDb': 'https://www.imdb.com/title/tt0325980/', 'Internet Speculative Fiction Database': 'https://www.isfdb.org/cgi-bin/title.cgi?1814926'}",,,2003-07-01,140000000.0,1.0,654300000.0,1.0
2708,https://en.wikipedia.org/wiki/Kill_Bill:_Volume_1,24,$30 million[2],USD,30000000.0,30000000.0,30000000.0,,$180.9 million[2],USD,180900000.0,180900000.0,180900000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0266697/', 'AllMovie': 'https://www.allmovie.com/movie/v280648', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=killbill.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/kill_bill_vol_1', 'Anime News Network': 'https://www.animenewsnetwork.com/encyclopedia/anime.php?id=4448'}",,,2003-10-01,30000000.0,1.0,180900000.0,1.0
35956,https://en.wikipedia.org/wiki/Jarhead_(film),25,$72 million[1],USD,72000000.0,72000000.0,72000000.0,,$97.1 million[1],USD,97100000.0,97100000.0,97100000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0418763/', 'AllMovie': 'https://www.allmovie.com/movie/v313654'}",,,2005-11-01,72000000.0,1.0,97100000.0,1.0
35194,https://en.wikipedia.org/wiki/Walk_on_Water_(film),26,,,,,,,$4.44 million[2],USD,4440000.0,4440000.0,4440000.0,,{'IMDb': 'https://www.imdb.com/title/tt0352994/'},,,2004-02-01,,,4440000.0,1.0
9918,https://en.wikipedia.org/wiki/Apocalypse_Now,28,$31 million[3],USD,31000000.0,31000000.0,31000000.0,,$104.8 million[4][5],USD,104800000.0,104800000.0,104800000.0,,"{'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/67464', 'AllMovie': 'https://www.allmovie.com/movie/v2675', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=apocalypsenow.htm', 'IMDb': 'https://www.imdb.com/title/tt0078788/', 'Metacritic': 'https://www.metacritic.com/movie/apocalypse-now', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/apocalypse_now', 'www.independent.co.uk': 'https://www.independent.co.uk/arts-entertainment/films/features/the-strained-making-of-apocalypse-now-1758689.html'}",,,1979-08-01,31000000.0,1.0,104800000.0,1.0
33366,https://en.wikipedia.org/wiki/Unforgiven,33,$14.4 million[2],USD,14400000.0,14400000.0,14400000.0,,$159.2 million[2],USD,159200000.0,159200000.0,159200000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0105695/', 'AllMovie': 'https://www.allmovie.com/movie/v51847', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/18386/enwp', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/67274', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1041911-unforgiven', 'Metacritic': 'https://www.metacritic.com/movie/unforgiven', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=unforgiven.htm', 'Filmsite.org': 'http://www.filmsite.org/unfo.html', 'the original': 'https://web.archive.org/web/20090411122922/http://iceberg.arts.ualberta.ca/filmstudies/Unforgiven.htm', '""\'It\'s a Hell of a Thing to Kill a Man\': Western Manhood in Clint Eastwood\'s \'Unforgiven\'""': 'http://www.americanpopularculture.com/journal/articles/spring_2004/motley.htm'}",,,1992-08-01,14400000.0,1.0,159200000.0,1.0
16454,https://en.wikipedia.org/wiki/Eternal_Sunshine_of_the_Spotless_Mind,38,$20 million,USD,20000000.0,20000000.0,20000000.0,,$74 million,USD,74000000.0,74000000.0,74000000.0,,"{'': 'http://www.eternalsunshine.com', 'IMDb': 'https://www.imdb.com/title/tt0338013/', 'AllMovie': 'https://www.allmovie.com/movie/v278676', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/458401/enwp', 'Metacritic': 'https://www.metacritic.com/movie/eternal-sunshine-of-the-spotless-mind', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/54370', 'Lacuna Inc.': 'https://web.archive.org/web/20051220085434/http://www.lacunainc.com/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind'}",,,2004-03-01,20000000.0,1.0,74000000.0,1.0
8388,https://en.wikipedia.org/wiki/Amores_perros,55,$2.4 million[2],USD,2400000.0,2400000.0,2400000.0,,$20.9 million[3],USD,20900000.0,20900000.0,20900000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0245712/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=amoresperros.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/amores_perros', 'Metacritic': 'https://www.metacritic.com/movie/amores-perros', 'Juan Villoro': 'https://www.criterion.com/current/posts/7226-amores-perros-the-dogs-that-heralded-the-millennium'}",,,2000-06-01,2400000.0,1.0,20900000.0,1.0
24667,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,58,$225 million[2],USD,225000000.0,225000000.0,225000000.0,,$1.066 billion[2],USD,1066000000.0,1066000000.0,1066000000.0,,"{'Official website': 'http://pirates.disney.com/pirates-of-the-caribbean-dead-mans-chest', 'IMDb': 'https://www.imdb.com/title/tt0383574/', 'Internet Speculative Fiction Database': 'https://www.isfdb.org/cgi-bin/title.cgi?1814927', 'Metacritic': 'https://www.metacritic.com/movie/pirates-of-the-caribbean-dead-mans-chest', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=piratesofthecaribbean2.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest', ""Pirates of the Caribbean: Dead Man's Chest"": ""https://www.imsdb.com/scripts/Pirates-of-the-Caribbean-Dead-Man's-Chest.html"", ""Pirates of the Caribbean: Dead Man's ChestProduction Notes"": 'https://web.archive.org/web/20070516110619/http://madeinatlantis.com/pirates/production/'}",,,2006-07-01,225000000.0,1.0,1066000000.0,1.0
6987,https://en.wikipedia.org/wiki/A_History_of_Violence,59,$32 million[5],USD,32000000.0,32000000.0,32000000.0,,$61.4 million[5],USD,61400000.0,61400000.0,61400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0399146/', 'AllMovie': 'https://www.allmovie.com/movie/v308382', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=historyofviolence.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/history_of_violence', 'Graphic novel preview': 'https://archive.org/download/a-history-of-violence-paradox-1997-pudgy/A%20History%20Of%20Violence%20%28Paradox%29%20%281997%29%20%28Pudgy%29.pdf'}",,,2005-09-01,32000000.0,1.0,61400000.0,1.0
7011,https://en.wikipedia.org/wiki/12_Monkeys,63,$29 million[1],USD,29000000.0,29000000.0,29000000.0,,$168.8 million[2],USD,168800000.0,168800000.0,168800000.0,,"{'Official website': 'http://www.uphe.com/movies/12-monkeys', 'IMDb': 'https://www.imdb.com/title/tt0114746/', '12 Monkeys': 'http://www.dailyscript.com/scripts/twelve_monkeys.html'}",,,1995-12-01,29000000.0,1.0,168800000.0,1.0
12552,https://en.wikipedia.org/wiki/Talk_to_Her,64,,,,,,,$64.8 million[1],USD,64800000.0,64800000.0,64800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0287467/', 'AllMovie': 'https://www.allmovie.com/movie/v267541', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=talktoher.htm', 'Metacritic': 'https://www.metacritic.com/movie/talk-to-her', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/talk_to_her'}",,,2002-03-01,,,64800000.0,1.0
