collection_id,movie_id
368982,32834
754381,77908
91588,15152
362722,56033
544031,328940
701644,81870
129453,14681
3292,3097
603504,221963
643572,18406
272416,12697
514978,12663
470522,277519
372070,337211
160952,15034
362554,15681
390205,138969
477962,346364
477962,474350
666953,10628
393744,298483
701135,321050
399925,223988
125570,53182
125570,1271
387618,8224
115762,395
115762,440
86797,13491
86797,13522
687929,392207
687929,613099
86774,8880
86774,8881
44724,41109
171439,16820
171439,9873
88735,10345
663490,58637
663490,11818
456778,272878
163902,146216
163902,39514
229932,46195
229932,172385
656,41439
656,176
656,214
656,215
656,11917
656,663
656,22804
656,298250
266672,72105
266672,214756
428046,208763
428046,428045
52785,11679
52785,47971
52785,7451
338313,92069
9435,9447
9435,9598
381396,10496
87118,49013
87118,920
87118,260514
634390,8814
433061,45839
2366,17692
2366,578
2366,579
2366,580
736592,591101
498578,498580
141615,25741
141615,141614
377545,12496
285879,15434
544670,335797
253537,61410
63043,97
63043,20526
211721,2334
131296,10195
131296,76338
131296,284053
708574,575100
107688,12154
537279,303542
537279,433150
702624,537915
8091,679
8091,8077
8091,8078
135502,9710
135502,9838
312735,15739
752944,140770
735,36586
735,36647
735,36648
747168,496
442352,17350
64751,1948
64751,15092
553717,312221
553717,480530
178106,141
178106,17532
98430,10070
429409,75745
99321,74135
99321,56832
110177,9763
110177,9815
110177,19139
378268,14695
144689,10028
102782,11415
102782,38084
1972,11838
180501,46316
534673,16186
534673,16781
534673,51017
534673,175555
534673,26367
534673,103370
534673,464504
419784,403862
10721,10706
10721,4961
683139,299824
87236,10674
244242,25602
244242,180894
426103,242512
426103,335796
243811,103686
124188,9682
173344,21925
173344,24348
5039,7555
5039,1368
5039,1369
5039,1370
5039,522938
93369,9669
572498,148284
572498,373449
1575,1246
1575,1366
1575,1371
1575,1374
1575,1375
2150,808
2150,809
2150,810
2150,10192
43064,1637
43064,1639
135483,82675
135483,8681
135483,260346
485645,441909
123218,33061
101646,29670
101646,102234
101646,37988
101646,61125
101646,315061
558216,335983
628510,92834
628510,57892
748,127585
748,49538
748,36657
748,36658
748,36668
748,320288
748,246655
409138,117629
1657,1656
1657,9342
74508,10664
74508,185341
74508,80280
74508,8329
660359,282631
508334,24795
170754,13665
87096,19995
506940,391629
104200,20081
104200,65413
350402,17644
120794,268
120794,364
120794,414
120794,415
359402,20779
107461,62276
257053,7340
257053,7341
8819,8839
182813,2292
182813,2295
86307,10328
86307,11285
98853,10134
140758,18442
148603,103327
518467,47644
12075,6007
182617,5680
330555,34300
330555,18935
330555,18943
330555,26386
104833,14628
104833,9749
507481,14012
43563,10426
43563,10471
43563,10634
386382,109445
386382,330457
86083,9037
86083,621
12087,11451
737031,1620
737031,249070
86578,1690
86578,1691
528179,105001
528179,490214
70068,14756
70068,365222
70068,449924
246091,204435
246091,32740
120927,23698
484529,168114
122947,30379
122947,29064
270252,151960
270252,218836
119674,10576
421084,19405
297371,18616
547477,397852
726945,17794
726945,219499
726945,404748
593102,172528
20970,441868
200350,110813
2602,41446
2602,4232
2602,4233
2602,4234
343944,191735
343944,62756
248126,2619
294172,42194
599668,289510
663600,44160
423877,31279
429232,180371
133962,80109
133962,22355
93295,150
93295,11595
97445,20737
33938,29723
86027,812
748401,420817
110127,9535
110127,9932
422834,102899
422834,363088
573693,297802
619923,561557
448758,284279
52097,38277
256433,147405
256433,44425
256433,496339
582828,10434
45154,9556
142021,68029
39244,20455
355490,11229
124901,43919
124901,11908
17235,11253
17235,1487
8354,425
8354,57800
8354,950
8354,8355
8354,278154
17178,9012
17178,16290
17178,12094
17178,208134
285564,25
605516,72545
605516,88751
495527,8844
495527,353486
495527,512200
691535,20015
210006,23631
210006,106747
8945,9355
8945,76341
8945,8810
544669,211672
105324,13515
162782,309665
85960,4032
304,161
304,163
304,298
94589,16353
108804,9017
109592,10246
109592,19698
109592,23919
561978,10265
568294,66125
504984,423525
5547,5548
5547,5549
5547,5550
57129,14444
57129,16340
57129,20694
724848,287947
496796,273481
496796,400535
484312,42684
484312,271404
9887,9348
86092,85446
86092,9762
