Top 10 predictions with highest absolute percentage error
|      |   movie_id |        actual |      predicted |   absolute_error |             squared_error |   percentage_error |   absolute_percentage_error |      residuals |   threshold_mape |   threshold_mape_25 |
|-----:|-----------:|--------------:|---------------:|-----------------:|--------------------------:|-------------------:|----------------------------:|---------------:|-----------------:|--------------------:|
|  698 |       9267 |     52,664.54 |   3,256,025.92 |     3,203,361.38 |     10,261,524,121,643.48 |              60.83 |                       60.83 |   3,203,361.38 |             1.43 |                1.64 |
|  827 |      91070 |     41,863.86 |   1,795,590.46 |     1,753,726.60 |      3,075,556,997,128.78 |              41.89 |                       41.89 |   1,753,726.60 |             1.43 |                1.64 |
|  877 |       8046 | 12,032,763.12 | 261,504,697.46 |   249,471,934.33 | 62,236,246,020,090,552.00 |              20.73 |                       20.73 | 249,471,934.33 |             1.43 |                1.64 |
|  991 |      12590 |  4,440,985.07 |  93,578,207.06 |    89,137,221.99 |  7,945,444,344,387,771.00 |              20.07 |                       20.07 |  89,137,221.99 |             1.43 |                1.64 |
|  752 |        763 |    526,925.97 |   9,677,698.44 |     9,150,772.47 |     83,736,636,859,887.70 |              17.37 |                       17.37 |   9,150,772.47 |             1.43 |                1.64 |
|  229 |      10288 |    644,202.90 |  11,422,823.12 |    10,778,620.22 |    116,178,653,809,601.86 |              16.73 |                       16.73 |  10,778,620.22 |             1.43 |                1.64 |
|  126 |      49792 |  1,370,892.78 |  24,291,706.66 |    22,920,813.89 |    525,363,709,260,472.38 |              16.72 |                       16.72 |  22,920,813.89 |             1.43 |                1.64 |
|  148 |      13919 |    548,246.74 |   9,558,426.37 |     9,010,179.63 |     81,183,336,958,203.08 |              16.43 |                       16.43 |   9,010,179.63 |             1.43 |                1.64 |
|  431 |      52505 |  2,028,043.78 |  35,084,440.96 |    33,056,397.18 |  1,092,725,394,290,095.25 |              16.30 |                       16.30 |  33,056,397.18 |             1.43 |                1.64 |
|  564 |      13685 |  1,087,661.85 |  17,586,146.94 |    16,498,485.09 |    272,200,010,165,011.50 |              15.17 |                       15.17 |  16,498,485.09 |             1.43 |                1.64 |
